sample_id,motor_efficiency,drivetrain_efficiency,Date,DateTime,Latitude,Longitude,Total Resistive Force,mechanical_power_w,Powertrain_efficiency_gear_SG,efficiency_limit,class_label
1,0.739058,0.688211,11/4/2022,2022-11-04 16:46:49,-33.93324,18.85857,3050.701806,780.285979,0.667702,0.73654,acceptable_efficiency
2,1.0,0.9312,11/4/2022,2022-11-04 16:46:56,-33.93318,18.8588,-3269.115556,8970.254177,0.90345,0.73654,acceptable_efficiency
3,1.0,0.9312,11/4/2022,2022-11-04 16:47:04,-33.93313,18.85895,-2134.716658,2754.730961,0.90345,0.73654,acceptable_efficiency
4,1.0,0.9312,11/4/2022,2022-11-04 16:47:05,-33.93313,18.85897,-1997.14657,1777.061624,0.90345,0.73654,acceptable_efficiency
5,0.500566,0.466127,11/4/2022,2022-11-04 16:47:11,-33.93313,18.85898,1118.342174,145.878711,0.452237,0.73654,low_efficiency
6,0.732771,0.682356,11/4/2022,2022-11-04 16:47:12,-33.93313,18.85899,262.346884,592.953074,0.662022,0.73654,low_efficiency
7,0.814212,0.758194,11/4/2022,2022-11-04 16:47:13,-33.93312,18.859,1503.682435,1832.280521,0.7356,0.73654,acceptable_efficiency
8,0.896199,0.83454,11/4/2022,2022-11-04 16:47:16,-33.93302,18.85903,2736.127796,8673.485382,0.809671,0.73654,acceptable_efficiency
9,1.0,0.9312,11/4/2022,2022-11-04 16:47:23,-33.93267,18.8589,-1174.448688,3638.437126,0.90345,0.73654,acceptable_efficiency
10,1.0,0.9312,11/4/2022,2022-11-04 16:47:36,-33.93254,18.85884,0.0,0.0,0.90345,0.73654,acceptable_efficiency
11,1.0,0.9312,11/4/2022,2022-11-04 16:47:39,-33.93254,18.85884,0.0,0.0,0.90345,0.73654,acceptable_efficiency
12,1.0,0.9312,11/4/2022,2022-11-04 16:47:53,-33.93254,18.85883,0.0,0.0,0.90345,0.73654,acceptable_efficiency
13,1.0,0.9312,11/4/2022,2022-11-04 16:48:15,-33.93252,18.85884,0.0,0.0,0.90345,0.73654,acceptable_efficiency
14,0.848866,0.790464,11/4/2022,2022-11-04 16:48:34,-33.93239,18.85877,4337.870379,4220.455795,0.766909,0.73654,acceptable_efficiency
15,0.912759,0.849961,11/4/2022,2022-11-04 16:48:36,-33.93235,18.85878,5951.838469,11528.871848,0.824633,0.73654,acceptable_efficiency
16,0.904599,0.842363,11/4/2022,2022-11-04 16:48:38,-33.93228,18.85886,1368.836737,9492.32423,0.81726,0.73654,acceptable_efficiency
17,0.617011,0.574561,11/4/2022,2022-11-04 16:48:41,-33.93222,18.85907,1409.868454,1902.922747,0.557439,0.73654,low_efficiency
18,1.0,0.9312,11/4/2022,2022-11-04 16:48:44,-33.93218,18.85937,-3482.033219,28176.815656,0.90345,0.73654,acceptable_efficiency
19,1.0,0.9312,11/4/2022,2022-11-04 16:49:13,-33.9321,18.85996,0.0,0.0,0.90345,0.73654,acceptable_efficiency
20,0.778457,0.724899,11/4/2022,2022-11-04 16:49:23,-33.9321,18.85996,2270.031755,1030.026277,0.703297,0.73654,acceptable_efficiency
21,0.893456,0.831987,11/4/2022,2022-11-04 16:49:25,-33.93209,18.86,3127.519252,5314.826411,0.807193,0.73654,acceptable_efficiency
22,0.880662,0.820072,11/4/2022,2022-11-04 16:49:26,-33.93209,18.86004,1968.713113,5301.220918,0.795634,0.73654,acceptable_efficiency
23,0.718471,0.66904,11/4/2022,2022-11-04 16:49:28,-33.93207,18.86016,591.281687,2584.937717,0.649102,0.73654,low_efficiency
24,0.527451,0.491162,11/4/2022,2022-11-04 16:49:34,-33.93199,18.86074,798.481481,2244.879446,0.476526,0.73654,low_efficiency
25,0.641715,0.597565,11/4/2022,2022-11-04 16:49:52,-33.93173,18.86312,760.458832,4935.118033,0.579758,0.73654,low_efficiency
26,1.0,0.9312,11/4/2022,2022-11-04 16:50:04,-33.93157,18.86469,-1532.177027,14582.651442,0.90345,0.73654,acceptable_efficiency
27,0.74339,0.692245,11/4/2022,2022-11-04 16:50:16,-33.9314,18.8661,2728.440298,6448.302197,0.671616,0.73654,acceptable_efficiency
28,0.551061,0.513148,11/4/2022,2022-11-04 16:50:35,-33.93114,18.86856,626.025488,6630.11425,0.497856,0.73654,low_efficiency
29,0.436734,0.406687,11/4/2022,2022-11-04 16:50:37,-33.93111,18.86889,1052.838408,5921.684408,0.394568,0.73654,low_efficiency
30,1.0,0.9312,11/4/2022,2022-11-04 16:50:46,-33.93093,18.8704,-1262.111377,16154.538837,0.90345,0.73654,acceptable_efficiency
31,1.0,0.9312,11/4/2022,2022-11-04 16:50:57,-33.93073,18.87219,-4159.610464,51158.260741,0.90345,0.73654,acceptable_efficiency
32,1.0,0.9312,11/4/2022,2022-11-04 16:51:04,-33.93068,18.87284,-4810.48953,18589.377476,0.90345,0.73654,acceptable_efficiency
33,1.0,0.9312,11/4/2022,2022-11-04 16:51:05,-33.93067,18.87286,-1415.561297,3907.295137,0.90345,0.73654,acceptable_efficiency
34,1.0,0.9312,11/4/2022,2022-11-04 16:51:15,-33.93062,18.87313,-1742.570994,3900.704533,0.90345,0.73654,acceptable_efficiency
35,1.0,0.9312,11/4/2022,2022-11-04 16:51:23,-33.93059,18.87323,-743.46471,981.912082,0.90345,0.73654,acceptable_efficiency
36,1.0,0.9312,11/4/2022,2022-11-04 16:51:41,-33.93058,18.87352,-673.13193,912.540951,0.90345,0.73654,acceptable_efficiency
37,0.671817,0.625596,11/4/2022,2022-11-04 16:51:57,-33.93058,18.87362,614.130545,468.24575,0.606953,0.73654,low_efficiency
38,0.7039,0.655472,11/4/2022,2022-11-04 16:51:58,-33.93056,18.87363,102.653405,679.558455,0.635939,0.73654,low_efficiency
39,0.874145,0.814004,11/4/2022,2022-11-04 16:52:03,-33.93047,18.87376,2321.319432,5133.092054,0.789746,0.73654,acceptable_efficiency
40,0.840136,0.782335,11/4/2022,2022-11-04 16:52:13,-33.93003,18.8744,664.771315,8557.93198,0.759021,0.73654,acceptable_efficiency
41,0.557339,0.518994,11/4/2022,2022-11-04 16:52:15,-33.92987,18.87453,957.474483,2451.708896,0.503528,0.73654,low_efficiency
42,1.0,0.9312,11/4/2022,2022-11-04 16:52:39,-33.92866,18.87533,0.0,0.0,0.90345,0.73654,acceptable_efficiency
43,0.659347,0.613984,11/4/2022,2022-11-04 16:52:45,-33.92866,18.87533,966.358044,442.445832,0.595687,0.73654,low_efficiency
44,1.0,0.9312,11/4/2022,2022-11-04 16:52:46,-33.92866,18.87534,-637.327785,745.239312,0.90345,0.73654,acceptable_efficiency
45,0.517009,0.481439,11/4/2022,2022-11-04 16:52:47,-33.92865,18.87535,2106.287377,313.969851,0.467092,0.73654,low_efficiency
46,0.660121,0.614705,11/4/2022,2022-11-04 16:52:52,-33.92859,18.87543,450.836386,894.581708,0.596386,0.73654,low_efficiency
47,0.466488,0.434393,11/4/2022,2022-11-04 16:52:53,-33.92856,18.87545,1078.651693,442.552656,0.421448,0.73654,low_efficiency
48,0.655439,0.610345,11/4/2022,2022-11-04 16:53:03,-33.92829,18.87569,444.786256,1523.064701,0.592157,0.73654,low_efficiency
49,0.45223,0.421117,11/4/2022,2022-11-04 16:53:05,-33.92821,18.87576,887.751327,740.959105,0.408567,0.73654,low_efficiency
50,1.0,0.9312,11/4/2022,2022-11-04 16:53:17,-33.9275,18.87622,-371.164804,1975.523401,0.90345,0.73654,acceptable_efficiency
51,1.0,0.9312,11/4/2022,2022-11-04 16:53:19,-33.92741,18.87628,-1759.261502,8916.994045,0.90345,0.73654,acceptable_efficiency
52,1.0,0.9312,11/4/2022,2022-11-04 16:53:31,-33.92708,18.87648,-1521.96466,1574.04348,0.90345,0.73654,acceptable_efficiency
53,1.0,0.9312,11/4/2022,2022-11-04 16:53:33,-33.92708,18.87648,-1234.832743,687.440673,0.90345,0.73654,acceptable_efficiency
