sample_id,profile_id,time_index,vehicle_speed_m_s,acceleration_m_s2,slope_rad,motor_speed_rpm,motor_torque_nm,motor_efficiency,drivetrain_efficiency,is_allowed
1,3,1651657771,3.147222,-0.244444,0.0,1324.864779,-26.660376,1.0,0.9312,1
2,3,1651657808,3.666667,2.327778,-0.057269,1543.531781,70.857383,0.918891,0.855672,0
3,3,1651657814,6.830556,0.433333,-0.110345,2875.412613,77.119948,0.937602,0.873095,0
4,3,1651657826,3.508333,0.038889,0.0,1476.879272,-9.614097,1.0,0.9312,1
5,3,1651657828,3.586111,-0.313889,0.0,1509.620856,-30.896835,1.0,0.9312,1
6,3,1651657830,2.788889,-0.130556,0.0,1174.019627,-19.75743,1.0,0.9312,1
7,3,1651657848,0.0,0.0,0.0,0.0,-2.736183,1.0,0.9312,1
8,3,1651657866,1.558333,0.030556,0.0,656.001007,-9.95369,1.0,0.9312,1
9,3,1651657874,1.419444,0.536111,0.0,597.533894,6.388899,0.57219,0.532824,0
10,3,1651657876,2.336111,-0.072222,0.0,983.416839,-16.201474,1.0,0.9312,1
11,3,1651657879,1.969444,-0.030556,0.0,829.063661,-13.662804,1.0,0.9312,1
12,3,1651657885,4.197222,0.293056,-0.049208,1766.876152,45.280308,0.906895,0.8445,0
13,3,1651657888,5.336111,0.666667,-0.029757,2246.306478,71.357861,0.930135,0.866141,0
14,3,1651657895,13.302778,0.9,0.020759,5599.980075,14.444815,0.669156,0.623118,0
15,3,1651657897,15.166667,1.527778,0.023889,6384.608731,33.954912,0.749195,0.69765,0
16,3,1651657923,6.483333,-0.916667,0.088693,2729.244831,-119.747938,1.0,0.9312,1
17,3,1651657964,19.275,0.577778,0.024392,8114.065931,-1.9772,1.0,0.9312,1
18,3,1651657965,19.852778,0.380556,0.0,8357.28912,-4.172025,1.0,0.9312,1
19,3,1651657979,16.972222,-0.886111,-0.039602,7144.681199,-46.660114,1.0,0.9312,1
20,3,1651657986,7.525,-2.930556,0.0,3167.748178,-189.412026,1.0,0.9312,1
21,3,1651657987,4.594444,-0.272222,0.0,1934.092095,-28.520232,1.0,0.9312,1
22,3,1651657990,4.505556,1.163889,0.0,1896.673143,32.820897,0.887008,0.825982,0
23,3,1651658002,11.502778,-0.552778,0.014293,4842.246292,-55.672379,1.0,0.9312,1
24,3,1651658013,6.872222,-1.536111,0.0,2892.952747,-105.167538,1.0,0.9312,1
25,3,1651658034,0.0,0.0,0.0,0.0,-1.8e-05,1.0,0.9312,1
