sample_id,profile_id,time_index,channel_00_mean,channel_01_mean,channel_02_mean,channel_03_mean,channel_04_mean,channel_05_mean,channel_00_trend,channel_01_trend,is_allowed
1,1000,0,-1.07722,1.367135,1.097118,-2.000468,25.90569,18.289637,0.012883,0.021129,1
2,1000,1,127.949503,27.57408,-24.319673,-46.308822,28.15868,41.524931,5.868119,-28.250566,1
3,1000,2,12.068943,0.870153,1.098589,-2.000007,22.730333,18.365001,0.016368,0.005058,1
4,1000,3,126.008307,34.879808,-25.117721,-86.576199,27.708449,56.42222,-4.558056,10.908588,1
5,1000,4,-0.396174,-0.748006,1.097415,-2.000649,24.450017,59.723624,0.029844,-0.074059,1
6,1000,5,30.166409,-127.601293,77.842166,-191.312762,23.350647,19.001763,-0.41217,-0.046021,0
7,1000,6,30.788647,-4.272466,16.111803,-3.214691,25.957368,49.761753,-12.701254,4.986409,1
8,1000,7,35.169096,-124.681673,57.224582,-185.9568,25.522257,18.35834,-0.302364,-0.12635,0
9,1000,8,89.449265,-49.312688,70.795239,-15.495675,23.902761,65.666643,0.031278,-0.003835,1
10,1000,9,-2.314101,0.377223,1.097319,-2.000608,27.65517,54.93915,-0.045034,-0.083188,1
11,1000,10,-0.289027,-0.707409,1.097213,-2.000523,25.161857,79.999114,-0.066928,-0.010653,1
12,1000,11,0.821226,2.455632,1.097184,-2.000659,26.28241,34.402739,-0.004356,0.041141,1
13,1000,12,34.486071,1.767964,11.848912,-18.437403,23.271757,19.131021,-89.088018,48.209652,1
14,1000,13,40.770133,-51.019312,161.745116,-58.917827,26.384435,29.492238,0.002809,0.043983,1
15,1000,14,109.32063,26.739227,-31.62915,-9.262371,25.92081,39.643883,-17.671081,-11.66779,1
16,1000,15,66.725598,75.884471,-95.075091,-48.481692,26.359671,55.530068,92.98097,93.951064,1
17,1000,16,128.464263,-8.921316,0.320279,-115.01064,25.15814,19.001928,-0.021469,0.085288,1
18,1000,17,129.848606,-8.143391,0.647244,-107.588614,23.999518,19.63269,-0.233765,-0.224222,1
19,1000,18,37.269371,-0.034607,1.097375,-2.000834,24.361367,18.345419,-0.008533,-0.014622,1
20,1000,19,-2.04282,1.662752,1.097304,-2.000491,26.349607,43.504671,-0.015368,0.046647,1
21,1000,20,0.347063,0.037814,5.477134,-3.203991,23.780607,53.984553,43.786492,-37.8561,1
