sample_id,max_bridge_temp_c,fault_code,fault_label,T1,T2,T3,Ia_original,Ib_original,IDC_original,Power_DC,Power_AC,Current_Imbalance,Temp_Diff_Max
1,12.229922,F0,normal_operation,10.577242,11.483951,12.229922,1.001955,-6.036168,-0.268817,9.765396,56.422287,-2.769231,1.652681
2,12.646151,F0,normal_operation,11.732168,11.483951,12.646151,1.050831,-6.036168,-0.171065,6.510264,55.879765,-2.815534,1.1622
3,12.229922,F0,normal_operation,10.659462,11.401305,12.229922,1.050831,-5.987292,-0.219941,8.13783,129.120235,-2.823529,1.57046
4,12.479497,F0,normal_operation,11.566642,11.483951,12.479497,1.099707,-5.938416,-0.219941,8.13783,90.420332,-2.88,0.995546
5,12.229922,F0,normal_operation,10.577242,11.153638,12.229922,1.001955,-5.938416,-0.317693,8.861193,55.337243,-2.784314,1.652681
6,12.229922,F0,normal_operation,10.659462,11.483951,12.229922,1.001955,-5.938416,-0.219941,6.329423,92.228739,-2.784314,1.57046
7,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,1.099707,-5.889541,-0.219941,8.13783,53.709677,-2.888889,1.653599
8,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,1.001955,-5.889541,-0.268817,11.935484,-18.264907,-2.792079,1.653599
9,12.313061,F0,normal_operation,10.659462,11.897886,12.313061,0.953079,-5.742913,-0.268817,11.935484,53.709677,-2.767677,1.653599
10,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,1.001955,-5.938416,-0.317693,8.861193,55.337243,-2.784314,1.653599
11,12.229922,F0,normal_operation,10.659462,11.566642,12.229922,1.050831,-5.987292,-0.268817,7.595308,92.228739,-2.823529,1.57046
12,12.229922,F0,normal_operation,10.659462,11.483951,12.229922,1.001955,-5.889541,-0.268817,7.595308,127.85435,-2.792079,1.57046
13,12.313061,F0,normal_operation,10.659462,11.815002,12.313061,1.050831,-5.987292,-0.757576,31.827957,18.445748,-2.823529,1.653599
14,12.229922,F0,normal_operation,10.741722,11.401305,12.229922,1.001955,-6.13392,-0.171065,5.063539,95.845552,-2.754717,1.4882
15,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,1.099707,-5.987292,-0.268817,7.595308,91.324536,-2.871287,1.653599
16,12.229922,F0,normal_operation,10.577242,11.483951,12.229922,1.099707,-5.987292,-0.317693,8.861193,54.794721,-2.871287,1.652681
17,11.401305,F0,normal_operation,10.659462,11.401305,10.906363,0.953079,-6.036168,-0.219941,9.946237,56.964809,-2.72381,0.741843
18,12.313061,F0,normal_operation,11.236149,11.401305,12.313061,1.148583,-6.036168,-0.268817,7.595308,91.324536,-2.910891,1.076911
19,12.229922,F0,normal_operation,10.577242,11.401305,12.229922,1.001955,-6.036168,-0.268817,9.765396,94.037146,-2.769231,1.652681
20,12.396252,F0,normal_operation,10.824022,11.401305,12.396252,1.099707,-5.987292,-0.268817,9.765396,91.324536,-2.871287,1.57223
21,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,1.099707,-5.840665,-0.317693,11.392962,88.611926,-2.897959,1.653599
22,12.229922,F0,normal_operation,10.659462,12.146836,12.229922,1.050831,-5.791789,-0.171065,3.616813,88.611926,-2.857143,1.57046
23,12.313061,F0,normal_operation,10.659462,11.318705,12.313061,1.001955,-5.840665,-0.268817,9.765396,90.420332,-2.8,1.653599
24,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,1.001955,-5.889541,-0.219941,8.13783,91.324536,-2.792079,1.653599
25,12.313061,F0,normal_operation,10.659462,11.483951,12.313061,1.099707,-5.987292,-0.268817,7.595308,91.324536,-2.871287,1.653599
26,12.313061,F0,normal_operation,10.577242,11.815002,12.313061,1.050831,-6.036168,-0.268817,9.765396,55.879765,-2.815534,1.735819
27,11.566642,F0,normal_operation,10.412917,11.483951,11.566642,1.050831,-6.036168,-0.219941,9.946237,93.132942,-2.815534,1.153726
28,12.313061,F0,normal_operation,10.659462,11.483951,12.313061,1.001955,-6.085044,-0.219941,4.521017,94.941349,-2.761905,1.653599
29,11.980819,F0,normal_operation,10.166709,11.401305,11.980819,1.050831,-6.085044,-0.268817,11.935484,94.037146,-2.807692,1.814109
30,12.313061,F0,normal_operation,10.659462,11.483951,12.313061,1.050831,-6.13392,-0.219941,6.329423,94.941349,-2.8,1.653599
31,12.729561,F0,normal_operation,11.153638,11.401305,12.729561,0.953079,-6.036168,-0.268817,20.615836,94.941349,-2.72381,1.575923
32,12.229922,F0,normal_operation,10.49506,11.401305,12.229922,0.953079,-6.036168,-0.268817,9.765396,18.98827,-2.72381,1.734862
33,13.819292,F0,normal_operation,10.577242,11.483951,13.819292,1.001955,-5.987292,-0.317693,8.861193,55.879765,-2.776699,3.24205
34,12.396252,F0,normal_operation,10.659462,11.401305,12.396252,1.050831,-5.987292,-0.219941,8.13783,129.120235,-2.823529,1.73679
35,16.900151,F0,normal_operation,10.659462,11.401305,16.900151,1.001955,-5.987292,-0.219941,6.329423,55.879765,-2.776699,6.240689
36,12.313061,F0,normal_operation,10.577242,10.248742,12.313061,1.099707,-5.938416,-0.171065,9.403715,90.420332,-2.88,2.064318
37,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,1.148583,-5.938416,-0.219941,8.13783,89.516129,-2.929293,1.653599
38,12.313061,F0,normal_operation,10.659462,11.236149,12.313061,1.001955,-5.987292,-0.268817,9.765396,93.132942,-2.776699,1.653599
39,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,1.099707,-5.889541,-0.268817,9.765396,89.516129,-2.888889,1.653599
40,12.479497,F0,normal_operation,10.659462,12.479497,12.396252,1.050831,-5.889541,-0.806452,39.965787,126.588465,-2.84,1.820035
41,12.313061,F0,normal_operation,10.659462,11.236149,12.313061,1.001955,-5.840665,-0.073314,3.978495,90.420332,-2.8,1.653599
42,12.396252,F0,normal_operation,10.577242,11.401305,12.396252,0.953079,-5.889541,-0.171065,7.956989,166.01173,-2.745098,1.81901
43,12.313061,F0,normal_operation,10.659462,11.483951,12.313061,1.001955,-5.938416,-0.317693,11.392962,129.120235,-2.784314,1.653599
44,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,1.050831,-5.987292,-0.219941,6.329423,-424.252199,-2.823529,1.653599
45,12.646151,F0,normal_operation,11.318705,11.401305,12.646151,0.855327,-5.987292,-0.268817,11.935484,57.507331,-2.641509,1.327446
46,12.313061,F0,normal_operation,10.577242,11.483951,12.313061,0.953079,-6.036168,-0.268817,11.935484,94.941349,-2.72381,1.735819
47,12.562796,F0,normal_operation,11.236149,11.401305,12.562796,1.001955,-5.987292,-0.268817,9.765396,93.132942,-2.776699,1.326647
48,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,1.148583,-5.938416,-0.268817,5.42522,89.516129,-2.929293,1.653599
