sample_id,profile_id,time_index,torque_proxy_nm,voltage_v,current_a,temperature_c,is_allowed
1,1001,0.0,5.642229,21.994135,6.118761,11.430371,1
2,1001,0.1,5.587977,21.994135,6.126954,11.95409,1
3,1001,0.2,12.912023,21.994135,6.078809,11.43023,1
4,1001,0.3,9.042033,21.994135,6.039383,11.843363,1
5,1001,0.4,5.533724,17.106549,6.02235,11.320267,1
6,1001,0.5,9.222874,17.106549,6.02235,11.457778,1
7,1001,0.6,5.370968,21.994135,5.991331,11.457942,1
8,1001,0.7,1.826491,26.88172,5.974161,11.457942,1
9,1001,0.8,5.370968,26.88172,5.821461,11.623469,1
10,1001,0.9,5.533724,17.106549,6.02235,11.457942,1
11,1001,1.0,9.222874,17.106549,6.078809,11.485342,1
12,1001,1.1,12.785435,17.106549,5.974161,11.457778,1
13,1001,1.2,1.844575,26.88172,6.078809,11.595842,1
14,1001,1.3,9.584555,17.106549,6.215214,11.45765,1
15,1001,1.4,9.132454,17.106549,6.087448,11.457942,1
16,1001,1.5,5.479472,17.106549,6.087448,11.430371,1
17,1001,1.6,5.696481,26.88172,6.110948,10.989043,1
18,1001,1.7,9.132454,17.106549,6.144475,11.650172,1
19,1001,1.8,9.403715,21.994135,6.118761,11.402823,1
20,1001,1.9,9.132454,21.994135,6.087448,11.540526,1
21,1001,2.0,8.861193,21.994135,5.943292,11.457942,1
22,1001,2.1,8.861193,12.218964,5.886346,11.67874,1
23,1001,2.2,9.042033,21.994135,5.925983,11.430409,1
24,1001,2.3,9.132454,21.994135,5.974161,11.457942,1
25,1001,2.4,9.132454,17.106549,6.087448,11.485491,1
26,1001,2.5,5.587977,21.994135,6.126954,11.568435,1
27,1001,2.6,9.313294,26.88172,6.126954,11.154503,1
28,1001,2.7,9.494135,12.218964,6.166983,11.485491,1
29,1001,2.8,9.403715,26.88172,6.175112,11.182944,1
30,1001,2.9,9.494135,17.106549,6.22328,11.485491,1
31,1001,3.0,9.494135,46.432063,6.110948,11.761501,1
32,1001,3.1,1.898827,21.994135,6.110948,11.375429,1
33,1001,3.2,5.587977,17.106549,6.07055,11.960161,1
34,1001,3.3,12.912023,21.994135,6.078809,11.485673,1
35,1001,3.4,5.587977,17.106549,6.07055,12.986973,1
36,1001,3.5,9.042033,31.769306,6.039383,11.046348,1
37,1001,3.6,8.951613,21.994135,6.048473,11.457942,1
38,1001,3.7,9.313294,21.994135,6.07055,11.402891,1
39,1001,3.8,8.951613,21.994135,5.991331,11.457942,1
40,1001,3.9,12.658847,31.769306,5.982552,11.84507,1
41,1001,4.0,9.042033,26.88172,5.925983,11.402891,1
42,1001,4.1,16.601173,26.88172,5.966159,11.458266,1
43,1001,4.2,12.912023,21.994135,6.02235,11.485491,1
44,1001,4.3,42.42522,17.106549,6.078809,11.457942,1
45,1001,4.4,5.750733,26.88172,6.048079,11.78872,1
46,1001,4.5,9.494135,26.88172,6.110948,11.458084,1
47,1001,4.6,9.313294,21.994135,6.07055,11.733417,1
48,1001,4.7,8.951613,12.218964,6.048473,11.457942,1
49,1001,4.8,8.951613,12.218964,5.991331,11.815815,1
50,1001,4.9,9.132454,17.106549,5.974161,11.375387,1
51,1001,5.0,8.861193,17.106549,5.943292,11.457942,1
52,1001,5.1,5.533724,17.106549,5.966159,11.485673,1
53,1001,5.2,9.042033,31.769306,5.982552,11.457942,1
54,1001,5.3,2.115836,26.88172,6.635696,11.623469,1
55,1001,5.4,9.132454,26.88172,5.974161,11.457942,1
56,1001,5.5,5.479472,12.218964,5.974161,11.623401,1
57,1001,5.6,9.403715,21.994135,6.062675,11.457942,1
58,1001,5.7,13.291789,21.994135,6.110948,12.432807,1
59,1001,5.8,5.587977,21.994135,6.07055,11.155016,1
60,1001,5.9,9.403715,26.88172,6.175112,11.485491,1
61,1001,6.0,5.696481,26.88172,6.166983,11.265832,1
62,1001,6.1,9.313294,12.218964,6.07055,11.457942,1
63,1001,6.2,9.584555,7.331378,6.15923,12.040156,1
64,1001,6.3,9.313294,17.106549,6.07055,11.403142,1
65,1001,6.4,13.038612,12.218964,6.07055,11.680773,1
66,1001,6.5,9.222874,17.106549,6.078809,11.513221,1
67,1001,6.6,9.222874,17.106549,6.078809,12.214525,1
68,1001,6.7,9.042033,17.106549,6.039383,11.101073,1
69,1001,6.8,12.785435,26.88172,6.030675,11.457942,1
70,1001,6.9,9.042033,26.88172,5.869683,11.430621,1
71,1001,7.0,12.912023,17.106549,6.02235,11.458266,1
72,1001,7.1,9.222874,17.106549,6.078809,11.540635,1
73,1001,7.2,5.587977,21.994135,6.07055,11.485362,1
74,1001,7.3,9.494135,26.88172,6.110948,11.457942,1
75,1001,7.4,9.765396,21.994135,6.200206,11.43069,1
76,1001,7.5,5.642229,21.994135,6.118761,11.458266,1
77,1001,7.6,9.403715,17.106549,6.231719,11.735153,1
78,1001,7.7,9.584555,21.994135,6.15923,11.430536,1
79,1001,7.8,5.642229,31.769306,6.118761,11.954571,1
80,1001,7.9,9.313294,26.88172,6.07055,11.485491,1
81,1001,8.0,5.316716,12.218964,6.000494,11.712325,1
82,1001,8.1,8.861193,17.106549,5.943292,11.210675,1
83,1001,8.2,5.587977,21.994135,6.014412,11.485673,1
84,1001,8.3,9.313294,17.106549,6.07055,11.430409,1
