sample_id,profile_id,speed_rpm,torque_nm,voltage_v,current_a,ambient_temp_c,winding_resistance_ohm,temperature_c,output_power_w,loss_power_w,efficiency,torque_limit_nm
1,2,18418.8,0.04171,24.016,4.8524,24.503,0.190769,36.135,80.451,36.087,0.69034,0.10024
2,3,25827.8,0.08093,47.557,5.8426,24.053,0.196318,43.198,218.89,58.968,0.78778,0.09209
3,6,61621.7,0.01927,36.162,5.8214,29.33,0.210735,62.001,124.376,86.138,0.59082,0.05272
4,2,13520.9,0.05527,60.091,1.5428,31.03,0.194657,41.65,78.253,14.456,0.84407,0.10563
5,2,18556.2,0.08375,59.419,3.6822,27.667,0.199185,46.81,162.743,56.05,0.74382,0.10009
6,5,57099.5,0.05009,35.803,11.8388,28.11,0.226333,88.725,299.514,124.35,0.70663,0.05769
7,5,52421.5,0.03521,24.271,9.5692,34.377,0.203057,54.48,193.301,38.956,0.83227,0.06284
8,6,64696.7,0.0134,23.422,7.5425,31.849,0.215995,69.546,90.766,85.895,0.51378,0.04933
9,4,41515.9,0.04542,48.025,4.4488,20.127,0.189556,35.996,197.453,16.202,0.92417,0.07483
10,1,10054.8,0.02744,36.375,1.301,32.958,0.19508,41.345,28.895,18.431,0.61055,0.10944
11,5,52687.0,0.02294,59.828,2.7308,23.563,0.195458,41.411,126.558,36.819,0.77464,0.06254
12,6,64439.5,0.01773,48.144,3.9952,29.707,0.207644,62.014,119.674,72.668,0.62219,0.04962
13,6,65000.0,0.01587,48.139,3.9028,27.139,0.208631,61.962,108.022,79.856,0.57496,0.049
14,5,53533.9,0.02628,23.141,9.0115,24.332,0.205056,54.122,147.327,61.208,0.70648,0.06161
15,2,10735.1,0.051,36.176,2.3109,28.868,0.194888,41.689,57.338,26.262,0.68586,0.10869
16,1,9312.2,0.02213,60.198,0.4444,22.006,0.188616,31.482,21.58,5.173,0.80665,0.11026
17,1,10801.1,0.04174,23.177,3.1881,34.528,0.197873,45.114,47.214,26.677,0.63897,0.10862
18,5,54950.1,0.02501,35.921,5.6075,30.449,0.205237,55.458,143.914,57.515,0.71447,0.06005
19,4,47410.4,0.05209,48.123,6.4698,32.759,0.203083,54.092,258.625,52.72,0.83067,0.06835
20,6,59864.6,0.02275,35.673,6.5086,22.283,0.210494,64.039,142.632,89.549,0.61431,0.05465
21,2,18823.3,0.02917,36.647,2.2707,34.496,0.202446,51.215,57.506,25.709,0.69105,0.09979
22,4,37035.8,0.05582,47.747,5.3748,31.682,0.201541,48.575,216.501,40.128,0.84364,0.07976
23,4,48105.0,0.05008,48.175,5.9976,33.314,0.204494,56.193,252.279,36.653,0.87314,0.06758
24,1,7827.1,0.04108,24.018,2.6441,22.903,0.190832,34.327,33.674,29.833,0.53024,0.11189
25,6,61806.3,0.04249,60.18,7.1261,20.037,0.225603,89.739,274.99,153.855,0.64123,0.05251
26,6,59923.2,0.01572,59.643,2.6289,33.097,0.205203,56.256,98.619,58.178,0.62896,0.05458
27,6,64951.1,0.00491,23.774,3.073,26.137,0.196996,43.176,33.365,39.693,0.45669,0.04905
28,5,56693.3,0.03652,23.827,13.1411,21.882,0.210572,63.395,216.812,96.3,0.69244,0.05814
29,5,51505.2,0.04841,35.943,9.2149,32.821,0.208957,61.788,261.092,70.118,0.7883,0.06384
30,5,56902.7,0.02767,24.03,9.989,24.222,0.205806,58.328,164.855,75.184,0.68678,0.05791
31,2,13320.8,0.01875,59.151,1.0354,21.333,0.185568,30.215,26.159,35.088,0.42711,0.10585
32,6,55996.9,0.02558,48.141,4.2314,22.638,0.202661,51.73,149.98,53.726,0.73626,0.0589
33,3,29052.3,0.04942,48.801,3.3651,33.865,0.197228,45.282,150.358,13.863,0.91558,0.08854
