sample_id,current_a,winding_resistance_ohm,output_power_w,loss_power_w,torque_limit_nm
1,4.8524,0.190769,80.451,36.087,0.10024
2,5.8426,0.196318,218.89,58.968,0.09209
3,5.8214,0.210735,124.376,86.138,0.05272
4,1.5428,0.194657,78.253,14.456,0.10563
5,3.6822,0.199185,162.743,56.05,0.10009
6,11.8388,0.226333,299.514,124.35,0.05769
7,9.5692,0.203057,193.301,38.956,0.06284
8,7.5425,0.215995,90.766,85.895,0.04933
9,4.4488,0.189556,197.453,16.202,0.07483
10,1.301,0.19508,28.895,18.431,0.10944
11,2.7308,0.195458,126.558,36.819,0.06254
12,3.9952,0.207644,119.674,72.668,0.04962
13,3.9028,0.208631,108.022,79.856,0.049
14,9.0115,0.205056,147.327,61.208,0.06161
15,2.3109,0.194888,57.338,26.262,0.10869
16,0.4444,0.188616,21.58,5.173,0.11026
17,3.1881,0.197873,47.214,26.677,0.10862
18,5.6075,0.205237,143.914,57.515,0.06005
19,6.4698,0.203083,258.625,52.72,0.06835
20,6.5086,0.210494,142.632,89.549,0.05465
21,2.2707,0.202446,57.506,25.709,0.09979
22,5.3748,0.201541,216.501,40.128,0.07976
23,5.9976,0.204494,252.279,36.653,0.06758
24,2.6441,0.190832,33.674,29.833,0.11189
25,7.1261,0.225603,274.99,153.855,0.05251
26,2.6289,0.205203,98.619,58.178,0.05458
27,3.073,0.196996,33.365,39.693,0.04905
28,13.1411,0.210572,216.812,96.3,0.05814
29,9.2149,0.208957,261.092,70.118,0.06384
30,9.989,0.205806,164.855,75.184,0.05791
31,1.0354,0.185568,26.159,35.088,0.10585
32,4.2314,0.202661,149.98,53.726,0.0589
33,3.3651,0.197228,150.358,13.863,0.08854
34,0.4719,0.189686,12.464,4.419,0.10842
35,0.8636,0.192975,36.066,15.351,0.10658
36,4.9715,0.211809,167.376,73.413,0.05457
37,5.558,0.205791,179.865,86.396,0.05427
38,2.5762,0.198992,94.871,29.505,0.09868
39,8.7094,0.1982,186.063,28.858,0.09101
40,0.685,0.196425,24.403,8.633,0.1117
41,3.4601,0.191286,58.009,23.96,0.10423
42,11.0025,0.193504,243.246,26.193,0.07394
43,5.7659,0.198128,151.955,55.484,0.0615
44,3.978,0.205192,151.252,87.94,0.05264
45,5.5344,0.20988,110.62,91.146,0.04942
46,2.8315,0.19605,113.19,23.339,0.09931
47,5.486,0.203284,137.669,59.593,0.06086
48,1.006,0.195531,30.793,17.422,0.1022
49,3.7384,0.19673,164.076,15.645,0.08079
50,3.6821,0.212057,100.322,79.232,0.04976
51,0.5846,0.194607,6.021,8.073,0.115
52,3.779,0.191905,196.989,31.865,0.07562
53,4.2805,0.196265,231.029,26.578,0.081
54,5.2587,0.201927,250.892,58.556,0.06677
55,5.4742,0.193183,106.445,25.108,0.10041
56,5.6971,0.200052,168.915,37.745,0.0702
57,5.9575,0.200117,228.97,58.404,0.06343
58,5.463,0.195593,153.608,42.078,0.06356
59,0.7552,0.192901,24.55,20.681,0.11049
60,6.1974,0.202595,166.996,56.406,0.06109
61,1.3837,0.194639,33.048,33.335,0.11079
62,9.3076,0.202739,172.661,50.198,0.0612
63,4.5839,0.201837,167.11,52.274,0.06393
64,7.0643,0.204911,189.051,66.291,0.05706
65,4.8741,0.2028,173.343,59.096,0.05696
66,6.8789,0.210596,247.431,85.364,0.05757
67,3.6201,0.196426,58.403,29.796,0.10495
68,4.0789,0.20058,120.101,28.504,0.1021
69,3.2776,0.192106,128.169,27.182,0.08913
70,14.5647,0.215271,279.227,78.55,0.06174
71,0.443,0.198135,20.018,7.006,0.115
72,4.5519,0.198591,194.655,25.492,0.08805
73,1.7918,0.194478,37.432,26.696,0.10529
74,5.7494,0.199201,157.505,50.227,0.0602
75,2.3639,0.193302,99.979,41.934,0.10175
76,3.8243,0.205402,73.404,59.833,0.05129
77,9.3249,0.19696,204.476,29.938,0.07457
78,9.2674,0.196096,189.157,33.294,0.0918
79,9.9918,0.217195,265.334,90.204,0.0599
80,7.2669,0.207732,164.955,95.555,0.05266
81,0.9513,0.187931,21.033,25.099,0.11447
82,9.3681,0.196013,205.914,23.32,0.07274
83,4.2073,0.203904,196.429,54.388,0.06935
84,1.2219,0.19626,41.603,17.364,0.10942
85,4.3203,0.202462,205.185,55.108,0.06719
86,6.0157,0.189372,206.101,16.704,0.08186
87,10.2345,0.201041,211.028,36.388,0.07434
88,3.4324,0.196275,142.109,21.968,0.086
89,2.8853,0.190866,40.695,27.676,0.1043
