sample_id,profile_id,speed_rpm,torque_nm,voltage_v,temperature_c,ambient_temp_c,efficiency
1,2,18418.8,0.04171,24.016,36.135,24.503,0.69034
2,3,25827.8,0.08093,47.557,43.198,24.053,0.78778
3,6,61621.7,0.01927,36.162,62.001,29.33,0.59082
4,2,13520.9,0.05527,60.091,41.65,31.03,0.84407
5,2,18556.2,0.08375,59.419,46.81,27.667,0.74382
6,5,57099.5,0.05009,35.803,88.725,28.11,0.70663
7,5,52421.5,0.03521,24.271,54.48,34.377,0.83227
8,6,64696.7,0.0134,23.422,69.546,31.849,0.51378
9,4,41515.9,0.04542,48.025,35.996,20.127,0.92417
10,1,10054.8,0.02744,36.375,41.345,32.958,0.61055
11,5,52687.0,0.02294,59.828,41.411,23.563,0.77464
12,6,64439.5,0.01773,48.144,62.014,29.707,0.62219
13,6,65000.0,0.01587,48.139,61.962,27.139,0.57496
14,5,53533.9,0.02628,23.141,54.122,24.332,0.70648
15,2,10735.1,0.051,36.176,41.689,28.868,0.68586
16,1,9312.2,0.02213,60.198,31.482,22.006,0.80665
17,1,10801.1,0.04174,23.177,45.114,34.528,0.63897
18,5,54950.1,0.02501,35.921,55.458,30.449,0.71447
19,4,47410.4,0.05209,48.123,54.092,32.759,0.83067
20,6,59864.6,0.02275,35.673,64.039,22.283,0.61431
21,2,18823.3,0.02917,36.647,51.215,34.496,0.69105
22,4,37035.8,0.05582,47.747,48.575,31.682,0.84364
23,4,48105.0,0.05008,48.175,56.193,33.314,0.87314
24,1,7827.1,0.04108,24.018,34.327,22.903,0.53024
25,6,61806.3,0.04249,60.18,89.739,20.037,0.64123
26,6,59923.2,0.01572,59.643,56.256,33.097,0.62896
27,6,64951.1,0.00491,23.774,43.176,26.137,0.45669
28,5,56693.3,0.03652,23.827,63.395,21.882,0.69244
29,5,51505.2,0.04841,35.943,61.788,32.821,0.7883
30,5,56902.7,0.02767,24.03,58.328,24.222,0.68678
31,2,13320.8,0.01875,59.151,30.215,21.333,0.42711
32,6,55996.9,0.02558,48.141,51.73,22.638,0.73626
33,3,29052.3,0.04942,48.801,45.282,33.865,0.91558
34,1,10977.8,0.01084,35.778,33.206,30.054,0.73827
35,1,12655.5,0.02721,59.54,38.026,26.045,0.70144
36,6,59932.5,0.02667,48.434,64.966,28.016,0.69511
37,6,60213.3,0.02852,47.906,57.176,23.028,0.67552
38,2,19839.8,0.04566,48.279,47.188,32.178,0.76278
39,3,26809.2,0.06627,24.677,46.368,28.722,0.86573
40,1,7996.2,0.02914,48.232,43.02,32.738,0.73868
41,2,14793.6,0.03744,23.69,34.106,24.959,0.70769
42,4,42325.9,0.05488,24.489,40.091,26.735,0.90279
43,5,53637.5,0.02705,35.977,45.376,20.66,0.73253
44,6,61689.4,0.02341,60.128,56.118,20.07,0.63234
