sample_id,winding_resistance_ohm,output_power_w,loss_power_w,efficiency,torque_limit_nm,overcurrent,overheating,overspeed,low_efficiency,torque_violation,violation_count,current_margin_a,temperature_margin_c,speed_margin_rpm,mode_label
1,0.19726,147.887,39.806,0.78792,0.09564,0,0,0,0,0,0,3.1736,30.124,40403.4,allowed
2,0.199304,43.583,19.611,0.68967,0.1117,0,0,0,0,0,0,9.7136,26.737,55000.0,allowed
3,0.198334,134.565,47.587,0.73875,0.0567,0,0,0,0,0,0,7.2548,29.9,5000.0,allowed
4,0.205271,54.933,15.717,0.77754,0.11053,0,0,0,0,0,0,7.99,17.147,53937.8,allowed
5,0.19573,47.318,15.977,0.74758,0.1117,0,0,0,0,0,0,9.9517,33.745,55000.0,allowed
6,0.200048,228.009,103.591,0.6876,0.0713,0,0,0,0,0,0,4.0811,25.738,18274.9,allowed
7,0.192555,151.257,56.593,0.72772,0.06304,0,0,0,0,0,0,2.0251,33.437,10761.0,allowed
8,0.202929,176.546,62.784,0.73767,0.0567,0,0,0,0,0,0,4.3159,20.208,5000.0,allowed
9,0.200476,152.57,74.176,0.67287,0.05861,0,0,0,0,0,0,1.5,25.65,6735.6,allowed
10,0.203706,52.613,19.191,0.73273,0.1117,0,0,0,0,0,0,9.8027,18.916,55000.0,allowed
11,0.19315,109.31,30.738,0.78052,0.09532,0,0,0,0,0,0,8.0786,36.422,40109.5,allowed
12,0.200178,198.623,101.974,0.66076,0.05717,0,0,0,0,0,0,4.832,25.481,5426.0,allowed
13,0.194922,186.178,72.544,0.71961,0.07767,0,0,0,0,0,0,5.6121,32.428,24060.1,allowed
14,0.208152,136.507,35.887,0.79183,0.05797,0,0,0,0,0,0,7.4126,12.076,6154.8,allowed
15,0.198098,59.128,20.688,0.74081,0.10881,0,0,0,0,0,0,9.3396,30.03,52368.2,allowed
16,0.203853,56.455,17.626,0.76207,0.1117,0,0,0,0,0,0,9.7711,17.244,55000.0,allowed
17,0.203579,135.394,47.234,0.74136,0.08132,0,0,0,0,0,0,3.5385,21.057,27382.3,allowed
18,0.201449,164.891,96.43,0.63099,0.07201,0,0,0,0,0,0,5.5095,23.225,18917.6,allowed
19,0.200384,88.793,33.51,0.72601,0.10532,0,0,0,0,0,0,7.6228,25.705,49200.0,allowed
20,0.204546,54.845,30.571,0.64209,0.11145,0,0,0,0,0,0,8.6503,18.601,54775.9,allowed
21,0.210402,72.544,22.497,0.76329,0.10703,0,0,0,0,0,0,8.3272,11.492,50750.5,allowed
22,0.19409,118.155,51.471,0.69656,0.09144,0,0,0,0,0,0,6.3111,34.309,36578.0,allowed
23,0.203024,156.994,74.253,0.6789,0.0567,0,0,0,0,0,0,6.1988,19.491,5000.0,allowed
24,0.20342,39.961,17.946,0.6901,0.1117,0,0,0,0,0,0,9.811,20.096,55000.0,allowed
25,0.20448,142.494,36.894,0.79434,0.0935,0,0,0,0,0,0,7.2483,18.03,38458.4,allowed
26,0.198638,107.698,50.048,0.68273,0.1038,0,0,0,0,0,0,7.7144,26.684,47817.5,allowed
27,0.19993,146.998,78.323,0.65239,0.063,0,0,0,0,0,0,1.5,26.556,10723.0,allowed
28,0.193361,173.491,101.329,0.63129,0.06811,0,0,0,0,0,0,6.4456,33.697,15371.9,allowed
29,0.204334,103.213,25.988,0.79885,0.1062,0,0,0,0,0,0,8.3113,20.14,50002.8,allowed
30,0.19516,231.981,88.516,0.72382,0.06572,0,0,0,0,0,0,5.5576,33.395,13203.5,allowed
31,0.193581,155.05,66.167,0.7009,0.06017,0,0,0,0,0,0,4.8175,35.913,8155.7,allowed
32,0.191195,149.883,89.359,0.62649,0.06128,0,0,0,0,0,0,6.0318,37.398,9162.2,allowed
33,0.198705,116.533,41.087,0.73933,0.09645,0,0,0,0,0,0,7.7126,27.257,41132.7,allowed
