sample_id,profile_id,time_s,altitude_m,air_density_kg_m3,ambient_temp_c,cooling_air_speed_mps,speed_rpm,torque_nm,voltage_v,current_a,winding_temp_c,output_power_w,input_power_w,copper_loss_w,iron_loss_w,mechanical_loss_w,total_loss_w,thermal_resistance_k_per_w,thermal_time_constant_s,steady_state_temp_c,temperature_margin_c,is_overheated,mission_segment
1,1,0.0,1932.0,0.97594,1.067,52.81,3561.4,8.49026,352.578,10.1634,37.131,3166.414,3583.394,7.952,33.514,222.023,347.909,0.130726,294.437,46.548,27.869,0,climb
2,1,5.0,1944.5,0.97451,2.319,50.039,3467.6,11.33015,272.858,16.9944,37.276,4114.224,4637.064,22.247,33.143,210.378,407.157,0.134298,294.708,57.0,27.724,0,climb
3,1,10.0,2044.9,0.96306,1.74,49.764,3655.1,10.25674,269.38,16.6121,36.985,3925.832,4474.959,21.282,36.288,210.41,422.611,0.134669,296.904,58.653,28.015,0,climb
4,1,15.0,2074.9,0.95968,3.118,49.592,3774.2,10.43901,539.839,8.7801,38.584,4125.817,4739.837,5.953,38.062,210.476,452.232,0.134902,297.563,64.125,26.416,0,climb
5,1,20.0,2246.7,0.94047,1.841,51.97,3985.7,11.11826,348.354,14.9435,40.445,4640.593,5205.628,17.27,42.389,221.383,437.238,0.131779,301.394,59.46,24.555,0,climb
6,1,25.0,2105.6,0.95621,1.947,51.784,3818.5,11.16192,345.177,14.3653,42.065,4463.392,4958.571,15.979,39.858,219.53,396.263,0.132016,298.244,54.26,22.935,0,climb
7,1,30.0,2219.5,0.94349,-0.639,49.294,4118.8,11.04205,538.973,10.0321,39.907,4762.706,5407.034,7.8,45.407,211.595,473.542,0.135309,300.782,63.436,25.093,0,climb
8,1,35.0,2171.5,0.94883,-0.083,50.841,4294.4,12.22581,350.961,17.9224,42.103,5498.057,6290.083,24.93,49.966,219.038,567.885,0.133235,299.708,75.579,22.897,0,climb
9,1,40.0,2174.9,0.94844,2.382,49.741,4362.7,10.54616,267.252,20.2868,42.474,4818.119,5421.687,32.011,49.412,215.141,465.416,0.1347,299.784,65.073,22.526,0,climb
10,1,45.0,2324.9,0.93186,0.758,48.632,4048.8,11.94113,271.239,21.1006,43.225,5062.956,5723.319,34.682,44.053,208.462,492.438,0.136227,303.163,67.841,21.775,0,climb
