sample_id,output_power_w,input_power_w,copper_loss_w,iron_loss_w,mechanical_loss_w,total_loss_w,thermal_resistance_k_per_w,thermal_time_constant_s,steady_state_temp_c,temperature_margin_c,is_overheated,mission_segment
1,3166.414,3583.394,7.952,33.514,222.023,347.909,0.130726,294.437,46.548,27.869,0,climb
2,4114.224,4637.064,22.247,33.143,210.378,407.157,0.134298,294.708,57.0,27.724,0,climb
3,3925.832,4474.959,21.282,36.288,210.41,422.611,0.134669,296.904,58.653,28.015,0,climb
4,4125.817,4739.837,5.953,38.062,210.476,452.232,0.134902,297.563,64.125,26.416,0,climb
5,4640.593,5205.628,17.27,42.389,221.383,437.238,0.131779,301.394,59.46,24.555,0,climb
6,4463.392,4958.571,15.979,39.858,219.53,396.263,0.132016,298.244,54.26,22.935,0,climb
7,4762.706,5407.034,7.8,45.407,211.595,473.542,0.135309,300.782,63.436,25.093,0,climb
8,5498.057,6290.083,24.93,49.966,219.038,567.885,0.133235,299.708,75.579,22.897,0,climb
9,4818.119,5421.687,32.011,49.412,215.141,465.416,0.1347,299.784,65.073,22.526,0,climb
10,5062.956,5723.319,34.682,44.053,208.462,492.438,0.136227,303.163,67.841,21.775,0,climb
11,4621.079,5316.787,7.565,40.516,213.624,500.407,0.134032,302.869,69.518,21.479,0,climb
12,5350.499,5865.494,35.743,49.234,220.048,420.508,0.132861,303.676,54.696,22.629,0,climb
13,4842.624,5377.254,7.818,44.059,209.292,411.572,0.135993,303.399,56.959,22.425,0,climb
14,4677.856,5292.873,17.791,40.303,213.149,460.319,0.134189,300.194,65.102,21.332,0,climb
15,4810.301,5523.986,8.182,42.084,213.011,511.002,0.134417,304.669,67.213,21.831,0,climb
16,4898.714,5458.123,19.488,40.776,215.091,431.585,0.133541,302.757,57.648,22.662,0,climb
17,5714.841,6260.152,24.973,50.167,219.36,432.446,0.133217,303.053,56.78,21.419,0,climb
18,5169.373,5742.24,34.955,45.467,213.073,447.15,0.134813,301.479,58.763,19.76,0,climb
19,4795.855,5472.813,19.252,45.368,220.517,500.638,0.132336,304.6,63.286,20.411,0,climb
20,5038.034,5683.168,20.777,43.925,219.057,482.515,0.132578,300.564,62.251,19.139,0,climb
21,4343.533,4879.494,24.833,41.129,214.807,421.125,0.133734,303.063,56.436,21.488,0,climb
22,5148.082,5702.158,35.845,44.884,214.682,437.677,0.134184,301.394,60.05,20.301,0,climb
23,3982.907,4306.479,5.046,37.709,209.591,291.521,0.135174,308.867,38.946,18.161,0,climb
24,5454.149,6003.06,38.574,51.018,208.968,436.253,0.136879,308.514,58.542,19.112,0,climb
25,4559.137,5078.218,28.159,43.477,201.456,408.386,0.138729,302.859,57.226,18.466,0,climb
26,3970.199,4536.733,13.19,37.579,203.031,425.804,0.137398,308.229,57.221,18.848,0,climb
27,3790.815,4172.149,11.275,36.285,198.208,320.33,0.139119,301.909,44.049,19.65,0,climb
28,4928.129,5558.425,19.845,39.926,214.7,470.175,0.133631,306.538,61.637,18.469,0,climb
29,4732.593,5254.484,7.484,46.699,205.843,404.052,0.137629,306.352,55.461,18.191,0,climb
30,2683.286,3016.54,5.953,24.768,205.489,289.584,0.135021,305.698,37.23,18.328,0,climb
31,3727.757,4222.558,19.667,36.531,198.259,386.646,0.139118,307.037,53.285,19.136,0,climb
32,3330.34,3716.755,3.713,32.764,209.612,323.268,0.134682,305.28,42.384,20.559,0,climb
33,3745.178,4276.601,19.921,36.83,198.89,407.321,0.138907,307.826,55.206,19.458,0,climb
34,3509.363,4004.662,10.377,36.006,207.553,386.686,0.135675,304.909,51.573,19.347,0,climb
35,3235.839,3706.7,14.939,33.844,210.374,375.595,0.134548,304.867,49.278,19.987,0,climb
36,3060.149,3577.832,8.187,28.992,211.41,396.591,0.133633,304.171,52.188,20.118,0,climb
37,3283.814,3761.853,15.561,31.364,209.362,378.251,0.134521,307.421,48.976,18.497,0,climb
38,2815.518,3354.915,3.03,26.137,214.241,406.202,0.132446,303.571,52.2,20.03,0,climb
39,3287.9,3771.459,3.899,33.22,209.524,376.947,0.134789,306.381,50.102,19.169,0,climb
40,3018.922,3392.83,7.394,28.022,202.123,312.542,0.13665,304.429,43.117,18.365,0,climb
41,3036.274,3593.008,8.513,32.624,213.61,420.84,0.133333,305.224,56.069,18.201,0,climb
42,2911.816,3340.285,3.06,25.57,209.671,342.894,0.133821,305.187,45.09,19.294,0,climb
43,2839.874,3204.221,2.811,29.352,208.452,308.668,0.134726,302.013,41.486,17.202,0,climb
44,2590.862,3072.363,6.22,25.265,199.43,368.737,0.13727,307.901,49.94,20.953,0,climb
45,2349.786,2600.84,4.342,22.891,213.153,246.254,0.132476,300.065,33.98,19.469,0,climb
46,2569.891,2948.431,5.627,26.85,194.75,310.449,0.139283,306.818,41.022,19.036,0,climb
47,2547.98,2961.57,2.369,25.929,205.319,332.602,0.135422,304.202,43.846,20.654,0,climb
48,2534.048,2877.985,5.183,23.675,216.84,299.729,0.131328,297.979,39.671,19.334,0,climb
49,3550.68,4054.709,17.904,31.73,208.267,393.271,0.134942,301.049,54.643,18.77,0,climb
50,3387.656,3770.56,3.871,32.218,214.551,323.385,0.132969,296.319,44.587,19.7,0,climb
51,2972.598,3351.324,3.069,27.811,214.143,318.56,0.132686,298.972,44.178,19.721,0,climb
52,3200.972,3673.768,14.845,31.82,210.669,375.838,0.13429,301.316,51.758,18.427,0,climb
53,3183.892,3593.242,8.316,30.21,219.563,341.282,0.131155,298.779,44.74,18.31,0,climb
54,2914.95,3291.912,7.031,28.777,202.001,314.343,0.136758,299.684,43.727,18.666,0,climb
55,3487.103,3990.449,10.21,30.234,215.548,392.037,0.132475,298.949,53.499,19.94,0,climb
56,2972.291,3414.158,7.509,30.079,210.398,354.621,0.134118,298.994,46.861,19.789,0,climb
57,3165.219,3574.03,14.015,32.465,220.166,344.837,0.131249,297.159,48.646,19.986,0,climb
58,3422.152,3852.694,15.612,31.355,211.942,353.308,0.13376,296.723,48.234,18.077,0,climb
59,3082.496,3432.989,7.777,29.546,217.742,307.551,0.131608,298.65,42.002,18.642,0,climb
60,3674.997,4031.58,4.425,35.418,215.621,311.08,0.132873,299.601,43.926,19.084,0,climb
61,3727.576,4265.333,11.817,34.823,222.33,416.803,0.130705,294.221,55.603,19.597,0,climb
62,3382.897,3847.175,15.482,35.044,211.703,373.356,0.13428,297.586,50.274,18.192,0,climb
63,3770.21,4342.33,12.258,35.862,205.026,428.582,0.136526,297.461,61.835,15.187,0,climb
64,4478.266,4954.711,6.739,38.692,218.697,380.903,0.132174,295.372,52.262,16.086,0,climb
65,3445.937,3915.881,16.603,31.837,214.539,376.81,0.132843,293.641,54.717,17.773,0,climb
66,4080.141,4634.96,23.185,36.425,220.373,431.142,0.131527,291.72,60.173,16.631,0,climb
