sample_id,profile_id,time_s,altitude_m,air_density_kg_m3,ambient_temp_c,cooling_air_speed_mps,speed_rpm,torque_nm,voltage_v,current_a,winding_temp_c
1,1,0.0,1932.0,0.97594,1.067,52.81,3561.4,8.49026,352.578,10.1634,37.131
2,1,5.0,1944.5,0.97451,2.319,50.039,3467.6,11.33015,272.858,16.9944,37.276
3,1,10.0,2044.9,0.96306,1.74,49.764,3655.1,10.25674,269.38,16.6121,36.985
4,1,15.0,2074.9,0.95968,3.118,49.592,3774.2,10.43901,539.839,8.7801,38.584
5,1,20.0,2246.7,0.94047,1.841,51.97,3985.7,11.11826,348.354,14.9435,40.445
6,1,25.0,2105.6,0.95621,1.947,51.784,3818.5,11.16192,345.177,14.3653,42.065
7,1,30.0,2219.5,0.94349,-0.639,49.294,4118.8,11.04205,538.973,10.0321,39.907
8,1,35.0,2171.5,0.94883,-0.083,50.841,4294.4,12.22581,350.961,17.9224,42.103
9,1,40.0,2174.9,0.94844,2.382,49.741,4362.7,10.54616,267.252,20.2868,42.474
10,1,45.0,2324.9,0.93186,0.758,48.632,4048.8,11.94113,271.239,21.1006,43.225
11,1,50.0,2312.0,0.93327,2.447,50.238,3861.1,11.42883,539.925,9.8473,43.521
12,1,55.0,2347.4,0.92939,-1.173,51.127,4275.7,11.94961,274.266,21.3861,42.371
13,1,60.0,2335.3,0.93072,0.988,48.799,4072.3,11.35558,537.837,9.9979,42.575
14,1,65.0,2193.2,0.9464,3.332,50.12,3860.7,11.57064,351.081,15.0759,43.668
15,1,70.0,2390.9,0.92464,-1.474,49.95,3942.1,11.65229,540.665,10.217,43.169
16,1,75.0,2307.0,0.93382,0.014,50.608,3859.4,12.12087,346.405,15.7565,42.338
17,1,80.0,2320.1,0.93239,-0.829,50.854,4331.0,12.60035,351.126,17.8288,43.581
18,1,85.0,2250.5,0.94005,-1.519,49.657,4122.3,11.97471,272.34,21.0848,45.24
19,1,90.0,2387.9,0.92498,-2.967,51.534,4113.4,11.13374,349.906,15.6408,44.589
20,1,95.0,2209.8,0.94456,-1.721,51.345,4011.1,11.99421,349.965,16.2392,45.861
21,1,100.0,2320.5,0.93234,0.118,50.462,3904.8,10.62234,274.992,17.7441,43.512
22,1,105.0,2246.7,0.94047,1.32,50.124,4085.1,12.03404,267.569,21.311,44.699
23,1,110.0,2572.3,0.90513,-0.46,49.393,3760.5,10.11415,538.821,7.9924,46.839
24,1,115.0,2557.2,0.90674,-1.172,48.169,4377.8,11.89722,271.616,22.1012,45.888
25,1,120.0,2311.5,0.93333,0.571,46.893,4041.3,10.77283,269.035,18.8757,46.534
26,1,125.0,2545.0,0.90804,-1.283,47.807,3726.6,10.17343,351.3,12.9141,46.152
27,1,130.0,2269.6,0.93794,-0.515,46.631,3707.6,9.76363,349.553,11.9357,45.35
28,1,135.0,2472.1,0.91585,-1.193,50.54,3841.0,12.25207,351.01,15.8355,46.531
29,1,140.0,2464.1,0.91672,-0.148,47.646,4236.9,10.66662,540.59,9.7199,46.809
30,1,145.0,2435.7,0.91978,-1.87,49.504,2964.8,8.64259,348.049,8.667,46.672
31,1,150.0,2493.7,0.91353,-0.505,46.632,3715.2,9.58145,267.989,15.7565,45.864
32,1,155.0,2417.6,0.92175,-1.154,49.754,3530.6,9.00759,543.017,6.8446,44.441
33,1,160.0,2527.7,0.90989,-1.374,46.773,3725.6,9.59957,269.716,15.8559,45.542
34,1,165.0,2401.4,0.92351,-0.891,49.029,3668.4,9.13528,350.036,11.4407,45.653
35,1,170.0,2399.5,0.92371,-1.258,49.853,3591.0,8.60473,270.066,13.7251,45.013
36,1,175.0,2369.2,0.92702,-0.809,50.538,3300.1,8.85503,352.163,10.1596,44.882
37,1,180.0,2510.3,0.91175,-1.906,49.873,3407.8,9.20197,268.629,14.0039,46.503
38,1,185.0,2342.8,0.92989,-1.6,51.448,3152.5,8.52864,542.962,6.1789,44.97
39,1,190.0,2465.4,0.91658,-0.706,49.675,3568.2,8.79909,538.137,7.0084,45.831
40,1,195.0,2380.4,0.92579,0.408,48.331,3217.3,8.96058,351.592,9.6499,46.635
41,1,200.0,2415.1,0.92202,-0.043,50.766,3522.4,8.23139,346.978,10.3552,46.799
42,1,205.0,2413.5,0.92219,-0.796,50.397,3084.0,9.01618,538.141,6.2071,45.706
43,1,210.0,2274.2,0.93744,-0.099,49.722,3354.6,8.08418,538.657,5.9485,47.798
44,1,215.0,2530.9,0.90955,-0.677,47.896,3038.2,8.14332,347.148,8.8503,44.047
45,1,220.0,2187.5,0.94704,1.357,51.425,2961.2,7.57762,351.768,7.3936,45.531
46,1,225.0,2484.2,0.91455,-2.218,46.521,3192.8,7.68614,350.164,8.4201,45.964
47,1,230.0,2370.5,0.92687,-1.196,49.212,3156.8,7.70753,541.951,5.4646,44.346
48,1,235.0,2093.7,0.95756,0.308,52.328,2975.8,8.13164,356.07,8.0826,45.666
49,1,240.0,2231.4,0.94216,1.574,49.562,3433.0,9.8767,269.845,15.0261,46.23
50,1,245.0,2018.3,0.96609,1.587,51.044,3493.4,9.2603,539.813,6.9849,45.3
51,1,250.0,2138.4,0.95252,1.91,51.262,3271.2,8.67756,538.808,6.2199,45.279
52,1,255.0,2243.2,0.94085,1.287,50.045,3512.7,8.70193,268.55,13.68,46.573
53,1,260.0,2129.8,0.9535,-0.021,52.466,3377.9,9.00073,350.99,10.2375,46.69
54,1,265.0,2170.4,0.94895,0.739,48.255,3250.4,8.56381,349.701,9.4135,46.334
55,1,270.0,2137.4,0.95264,1.564,51.426,3403.3,9.78435,351.756,11.3444,45.06
56,1,275.0,2139.4,0.95241,-0.7,50.173,3379.1,8.39974,351.0,9.727,45.211
57,1,280.0,2056.5,0.96175,3.386,52.391,3531.9,8.55791,268.956,13.2885,45.014
58,1,285.0,2036.7,0.96399,0.976,50.442,3459.8,9.44552,274.719,14.0241,46.923
59,1,290.0,2124.0,0.95415,1.526,52.106,3311.2,8.88965,346.859,9.8974,46.358
60,1,295.0,2166.7,0.94936,2.591,51.118,3621.9,9.68916,539.927,7.4669,45.916
61,1,300.0,1922.0,0.97709,1.125,52.828,3600.5,9.88625,349.541,12.2027,45.403
62,1,305.0,2075.9,0.95956,0.14,50.052,3677.2,8.78513,275.521,13.9633,46.808
63,1,310.0,2070.2,0.9602,3.322,48.419,3654.4,9.85195,349.534,12.4232,49.813
64,1,315.0,1975.0,0.97102,1.917,51.66,3766.2,11.35491,538.119,9.2075,48.914
65,1,320.0,1895.2,0.98017,4.661,51.141,3425.5,9.60619,271.004,14.4495,47.227
66,1,325.0,1805.8,0.99054,3.466,52.17,3709.1,10.5047,271.513,17.0708,48.369
67,1,330.0,1683.7,1.00487,6.18,50.973,3974.9,11.21515,539.564,9.2667,47.068
68,1,335.0,1898.5,0.97979,1.959,52.245,3826.0,11.45448,348.4,14.7833,47.008
69,1,340.0,1847.1,0.98574,2.998,52.682,3958.4,10.6168,543.201,8.9154,48.808
70,1,345.0,1931.7,0.97598,0.944,49.995,4021.8,11.06149,268.184,19.5804,49.215
71,1,350.0,1637.4,1.01036,3.781,52.022,4089.3,12.44761,269.1,21.9548,47.546
72,1,355.0,1760.6,0.99582,3.896,49.867,3891.7,11.05661,347.508,14.1773,47.853
73,1,360.0,1847.2,0.98572,3.418,53.223,3778.0,10.62955,268.867,17.5342,48.798
74,1,365.0,1702.4,1.00266,3.319,52.21,3928.4,11.35064,272.975,18.7936,47.71
75,1,370.0,1743.8,0.99779,5.231,52.194,4241.7,11.49922,349.875,16.2747,49.06
76,1,375.0,1885.5,0.98129,4.515,51.905,4171.8,11.75674,269.339,21.0823,48.237
77,1,380.0,1691.5,1.00395,2.611,51.547,3674.9,10.52921,354.997,12.8084,48.395
78,1,385.0,1741.3,0.99809,3.178,50.953,4272.7,11.77751,271.103,21.9008,47.914
79,1,390.0,1580.3,1.01716,4.993,54.223,4134.9,12.75594,535.894,11.5639,47.309
80,1,395.0,1575.7,1.01771,7.057,51.821,4021.5,11.96535,538.265,10.3679,49.475
81,1,400.0,1554.5,1.02026,3.504,52.06,4241.3,12.21311,270.587,22.5872,50.338
82,1,405.0,1594.8,1.01543,5.561,54.726,3454.3,8.78987,541.092,6.7308,51.739
83,1,410.0,1651.4,1.00869,4.274,52.855,4368.2,12.27252,272.62,23.2919,51.281
84,1,415.0,1533.9,1.02274,1.923,54.801,4111.4,11.55133,350.558,16.0494,50.114
85,1,420.0,1546.0,1.02128,6.63,53.077,3829.2,10.96434,270.432,18.1471,52.285
86,1,425.0,1583.4,1.0168,4.632,54.563,3905.9,9.17663,350.944,11.9748,50.699
87,1,430.0,1570.5,1.01834,5.654,50.874,3674.7,10.8232,267.064,17.5479,50.787
88,1,435.0,1524.9,1.02382,3.491,52.55,3568.3,9.57923,350.713,11.6139,50.065
89,1,440.0,1516.8,1.0248,6.553,53.26,3459.7,9.95179,350.653,11.4951,51.291
90,1,445.0,1696.2,1.00339,3.307,50.896,3629.9,9.25178,351.129,10.9771,52.305
91,1,450.0,1647.2,1.00919,4.977,52.203,3638.8,9.58464,538.801,7.8332,52.351
92,1,455.0,1479.1,1.02935,4.256,54.01,3356.1,7.74135,349.668,8.9833,50.138
93,1,460.0,1580.1,1.01719,6.457,52.417,4198.9,11.03346,354.691,15.4364,51.835
94,1,465.0,1616.5,1.01284,2.439,52.935,3594.2,10.24858,540.263,8.4806,51.046
95,1,470.0,1552.7,1.02048,4.227,52.158,3226.7,9.27979,539.041,6.8794,52.427
96,1,475.0,1485.5,1.02858,4.838,54.22,3594.6,9.63664,539.988,7.3829,51.639
97,1,480.0,1632.6,1.01093,5.096,50.644,3397.7,8.70925,539.519,6.5122,52.948
98,1,485.0,1587.7,1.01629,3.928,52.884,3117.4,8.72007,350.826,9.4594,52.797
99,1,490.0,1446.5,1.03331,5.405,52.238,3449.1,8.41529,348.032,9.5874,50.97
100,1,495.0,1745.8,0.99755,3.596,51.816,2984.6,8.1844,350.789,8.0709,50.953
101,1,500.0,1493.1,1.02765,2.816,53.905,3168.5,7.58876,349.173,8.3206,48.875
102,1,505.0,1528.6,1.02338,4.479,52.35,3553.2,8.85055,541.312,6.5169,49.951
103,1,510.0,1551.3,1.02065,6.0,52.044,2980.8,8.39191,542.15,5.2557,51.161
104,1,515.0,1514.5,1.02508,7.025,52.223,3195.3,7.87905,270.279,10.9887,51.325
105,1,520.0,1760.3,0.99585,0.97,53.144,3493.3,8.95084,346.649,10.7876,50.442
106,1,525.0,1656.5,1.00809,1.904,55.38,3536.3,7.97042,269.854,12.5017,49.545
107,1,530.0,1673.8,1.00604,5.382,51.193,2908.2,7.29713,349.048,7.0461,50.586
