sample_id,profile_id,voltage_kv,frequency_hz,phase_mean_deg,phase_std_deg,pulse_count,mean_charge_pc,max_charge_pc,charge_iqr_pc,repetition_rate_hz,positive_negative_ratio,waveform_rise_ns,waveform_width_ns,prpd_entropy,defect_class,defect_code,has_partial_discharge,risk_score,high_risk,phase_cluster_low_deg,phase_cluster_high_deg,noise_floor_pc
1,3,20.397,50.0,273.133,36.876,28,124.745,279.785,38.652,13.613,1.2114,45.129,215.033,0.62652,internal,3,1,1.0,1,236.258,310.009,3.869
2,5,12.175,50.0,160.832,94.291,7,4.531,8.809,1.324,2.486,1.2702,21.661,115.778,0.26483,no_pd,0,0,0.0,0,66.541,255.124,3.805
3,8,6.13,50.0,150.155,65.063,38,48.47,99.122,25.782,19.986,1.4766,42.277,152.701,0.5498,surface,2,1,0.71934,1,85.092,215.218,3.863
4,8,11.073,60.0,244.695,107.603,4,10.541,13.516,4.433,1.685,1.3276,19.782,89.182,0.27084,no_pd,0,0,0.06433,0,137.092,352.298,3.979
5,6,19.976,50.0,63.716,34.493,35,217.788,373.173,112.81,18.231,0.8527,54.238,191.714,0.76306,internal,3,1,1.0,1,29.223,98.21,0.676
6,3,13.645,50.0,52.667,37.34,56,150.296,309.765,69.183,25.956,0.7905,54.09,199.942,0.72946,internal,3,1,1.0,1,15.327,90.007,1.659
7,2,10.699,50.0,202.409,81.301,10,12.161,29.351,5.019,4.486,1.0277,23.611,92.993,0.147,no_pd,0,0,0.12978,0,121.108,283.71,1.892
8,4,16.996,50.0,221.937,35.501,48,133.89,312.49,52.185,25.182,0.9762,43.699,176.217,0.7494,internal,3,1,1.0,1,186.436,257.438,3.245
9,4,15.185,50.0,152.352,99.329,10,5.26,12.413,1.223,4.88,0.6458,22.154,102.518,0.18238,no_pd,0,0,0.03911,0,53.023,251.68,3.208
10,8,16.628,50.0,255.397,33.033,43,29.565,44.994,12.772,21.63,0.9205,51.256,164.961,0.79116,internal,3,1,0.96236,1,222.363,288.43,3.814
11,4,11.644,50.0,108.652,63.866,24,0.5,1.285,0.23,12.19,1.451,31.536,124.087,0.67457,surface,2,1,0.6119,0,44.786,172.518,4.272
12,1,20.99,60.0,141.615,45.696,28,125.966,240.331,41.907,16.488,1.1527,34.158,151.895,0.56435,surface,2,1,0.82704,1,95.919,187.311,1.663
13,6,6.682,60.0,99.438,19.504,15,59.965,80.602,12.224,9.725,1.7648,35.561,153.645,0.40074,corona,1,1,0.44661,0,79.934,118.942,2.511
14,4,18.772,50.0,225.847,34.389,41,123.42,281.54,43.554,20.923,0.6304,42.395,200.996,0.78952,internal,3,1,1.0,1,191.458,260.236,1.651
