sample_id,defect_code,has_partial_discharge,risk_score,high_risk,phase_cluster_low_deg,phase_cluster_high_deg,noise_floor_pc
1,3,1,1.0,1,236.258,310.009,3.869
2,0,0,0.0,0,66.541,255.124,3.805
3,2,1,0.71934,1,85.092,215.218,3.863
4,0,0,0.06433,0,137.092,352.298,3.979
5,3,1,1.0,1,29.223,98.21,0.676
6,3,1,1.0,1,15.327,90.007,1.659
7,0,0,0.12978,0,121.108,283.71,1.892
8,3,1,1.0,1,186.436,257.438,3.245
9,0,0,0.03911,0,53.023,251.68,3.208
10,3,1,0.96236,1,222.363,288.43,3.814
11,2,1,0.6119,0,44.786,172.518,4.272
12,2,1,0.82704,1,95.919,187.311,1.663
13,1,1,0.44661,0,79.934,118.942,2.511
14,3,1,1.0,1,191.458,260.236,1.651
15,0,0,0.0547,0,67.307,261.133,0.507
16,2,1,0.81529,1,99.854,207.639,4.342
17,0,0,0.13266,0,73.02,279.771,0.61
18,1,1,0.33716,0,75.753,117.713,2.448
19,1,1,0.50646,0,54.68,104.977,0.935
20,0,0,0.14854,0,132.117,336.817,2.423
21,2,1,0.78086,1,67.666,206.727,2.743
22,2,1,0.78904,1,94.067,196.936,2.256
23,0,0,0.08182,0,143.34,309.538,2.628
24,2,1,0.97459,1,58.355,153.309,2.205
25,1,1,0.40382,0,81.783,118.739,3.015
26,3,1,1.0,1,34.904,92.091,0.943
27,1,1,0.35613,0,84.665,132.8,2.95
28,1,1,0.46904,0,65.893,122.331,3.319
29,0,0,0.11312,0,65.144,251.194,0.469
30,1,1,0.48817,0,62.118,105.724,1.102
31,1,1,0.38927,0,59.009,109.203,0.573
32,1,1,0.3671,0,52.852,107.757,1.252
33,1,1,0.48568,0,58.052,105.341,2.978
34,2,1,0.75399,1,108.627,197.405,2.358
35,0,0,0.01906,0,76.271,293.409,3.377
36,3,1,0.89129,1,207.427,263.434,3.172
37,2,1,0.70143,1,58.809,165.966,0.655
38,0,0,0.05131,0,71.024,283.911,1.715
39,1,1,0.34131,0,70.485,109.673,0.473
40,1,1,0.34762,0,83.007,123.535,2.465
41,2,1,0.83619,1,85.19,196.747,2.328
42,3,1,0.85433,1,207.501,283.449,2.382
43,2,1,0.81366,1,88.087,215.988,3.203
44,3,1,1.0,1,14.631,95.606,2.966
45,1,1,0.45737,0,71.067,114.557,2.024
46,0,0,0.08725,0,122.187,309.444,3.461
47,2,1,0.80341,1,97.697,198.416,3.116
48,0,0,0.12208,0,69.173,272.449,2.769
49,0,0,0.07515,0,69.924,274.573,4.466
50,1,1,0.3215,0,68.495,126.928,3.853
51,2,1,0.71623,1,85.975,195.759,1.266
52,3,1,1.0,1,19.151,82.043,2.858
53,2,1,0.75374,1,103.961,205.743,1.35
54,3,1,1.0,1,32.363,103.499,1.677
55,2,1,1.0,1,90.385,207.853,3.944
56,0,0,0.03797,0,88.278,255.78,3.019
57,1,1,0.54079,0,66.709,105.942,3.391
58,1,1,0.43734,0,80.697,119.407,1.819
59,2,1,0.67764,1,82.149,201.316,2.889
60,0,0,0.07765,0,100.038,221.959,0.448
61,0,0,0.05933,0,50.172,280.172,1.768
62,2,1,0.91659,1,84.912,191.614,1.039
63,1,1,0.37035,0,79.725,120.804,1.259
64,3,1,1.0,1,36.092,83.979,3.936
65,0,0,0.06521,0,65.029,251.887,3.244
66,0,0,0.03073,0,126.448,296.573,1.636
67,2,1,0.78574,1,93.099,229.646,2.178
68,1,1,0.31366,0,74.346,117.363,3.87
69,1,1,0.48234,0,82.076,116.747,2.841
70,0,0,0.1248,0,78.756,239.615,1.215
71,1,1,0.51486,0,59.293,101.863,1.369
72,3,1,1.0,1,31.67,91.558,4.337
73,0,0,0.07925,0,69.056,290.371,0.55
74,3,1,1.0,1,21.73,79.223,2.623
75,0,0,0.1231,0,42.717,250.616,4.307
76,1,1,0.45565,0,51.981,92.579,1.003
77,0,0,0.10686,0,213.324,317.723,1.463
78,0,0,0.0798,0,128.973,261.733,1.649
79,1,1,0.396,0,59.012,102.435,2.035
80,2,1,0.84205,1,105.029,202.653,2.232
81,1,1,0.45298,0,61.025,109.285,3.77
82,0,0,0.00859,0,125.624,355.624,1.652
83,0,0,0.08192,0,42.196,240.097,0.981
