sample_id,profile_id,voltage_kv,frequency_hz,phase_mean_deg,phase_std_deg,pulse_count,mean_charge_pc,max_charge_pc,charge_iqr_pc,repetition_rate_hz,positive_negative_ratio,waveform_rise_ns,waveform_width_ns,prpd_entropy,defect_class
1,3,20.397,50.0,273.133,36.876,28,124.745,279.785,38.652,13.613,1.2114,45.129,215.033,0.62652,internal
2,5,12.175,50.0,160.832,94.291,7,4.531,8.809,1.324,2.486,1.2702,21.661,115.778,0.26483,no_pd
3,8,6.13,50.0,150.155,65.063,38,48.47,99.122,25.782,19.986,1.4766,42.277,152.701,0.5498,surface
4,8,11.073,60.0,244.695,107.603,4,10.541,13.516,4.433,1.685,1.3276,19.782,89.182,0.27084,no_pd
5,6,19.976,50.0,63.716,34.493,35,217.788,373.173,112.81,18.231,0.8527,54.238,191.714,0.76306,internal
6,3,13.645,50.0,52.667,37.34,56,150.296,309.765,69.183,25.956,0.7905,54.09,199.942,0.72946,internal
7,2,10.699,50.0,202.409,81.301,10,12.161,29.351,5.019,4.486,1.0277,23.611,92.993,0.147,no_pd
8,4,16.996,50.0,221.937,35.501,48,133.89,312.49,52.185,25.182,0.9762,43.699,176.217,0.7494,internal
9,4,15.185,50.0,152.352,99.329,10,5.26,12.413,1.223,4.88,0.6458,22.154,102.518,0.18238,no_pd
10,8,16.628,50.0,255.397,33.033,43,29.565,44.994,12.772,21.63,0.9205,51.256,164.961,0.79116,internal
11,4,11.644,50.0,108.652,63.866,24,0.5,1.285,0.23,12.19,1.451,31.536,124.087,0.67457,surface
12,1,20.99,60.0,141.615,45.696,28,125.966,240.331,41.907,16.488,1.1527,34.158,151.895,0.56435,surface
13,6,6.682,60.0,99.438,19.504,15,59.965,80.602,12.224,9.725,1.7648,35.561,153.645,0.40074,corona
14,4,18.772,50.0,225.847,34.389,41,123.42,281.54,43.554,20.923,0.6304,42.395,200.996,0.78952,internal
15,7,14.357,50.0,164.22,96.913,8,16.543,22.685,4.735,4.088,0.8144,21.339,77.331,0.14008,no_pd
16,3,13.734,50.0,153.746,53.893,26,87.065,122.38,34.845,13.295,1.1622,41.89,165.162,0.64065,surface
17,3,15.719,50.0,176.396,103.376,15,7.901,19.258,3.587,8.401,0.8007,21.675,106.39,0.23769,no_pd
18,8,20.756,50.0,96.733,20.98,25,0.5,0.765,0.198,10.84,1.4426,33.163,99.687,0.39986,corona
19,5,21.583,50.0,79.828,25.148,20,61.133,141.575,28.09,10.88,1.9727,30.799,119.836,0.4232,corona
20,6,17.025,50.0,234.467,102.35,14,3.118,7.639,0.802,6.112,0.7637,21.714,69.374,0.28774,no_pd
21,1,10.51,50.0,137.197,69.53,28,106.31,221.778,40.714,15.478,0.8739,42.664,133.545,0.52698,surface
22,1,11.322,60.0,145.501,51.434,35,101.436,208.189,31.09,23.082,1.0626,36.78,144.096,0.62241,surface
23,3,12.296,50.0,226.439,83.099,7,10.635,15.067,3.696,3.776,1.3259,22.819,114.356,0.21578,no_pd
24,6,6.927,50.0,105.832,47.477,32,169.947,417.858,87.253,16.92,1.3844,42.627,152.08,0.60402,surface
25,6,10.079,50.0,100.261,18.478,26,30.69,41.765,9.891,11.35,1.3919,25.592,138.537,0.4928,corona
26,1,21.049,50.0,63.498,28.594,54,93.263,177.313,36.912,26.547,1.0321,60.12,193.069,0.85691,internal
27,4,16.3,50.0,108.733,24.067,16,28.552,64.358,11.409,8.137,1.6014,29.794,127.319,0.41229,corona
28,6,6.735,50.0,94.112,28.219,10,75.747,106.528,33.7,3.234,1.8261,37.589,117.975,0.39064,corona
29,3,8.718,50.0,158.169,93.025,15,9.874,12.374,4.196,8.479,0.9415,24.833,81.635,0.27935,no_pd
30,6,9.882,50.0,83.921,21.803,18,80.687,118.291,43.75,10.242,1.7398,24.984,125.29,0.26542,corona
31,7,21.865,50.0,84.106,25.097,19,54.331,139.363,26.411,11.182,2.1273,33.426,111.213,0.38585,corona
32,7,8.169,50.0,80.304,27.452,21,23.004,54.033,10.469,9.944,1.9468,31.273,135.416,0.53221,corona
33,4,6.744,50.0,81.696,23.644,16,72.737,174.395,20.241,7.163,1.8585,33.799,123.631,0.38675,corona
34,6,23.8,60.0,153.016,44.389,31,85.06,151.756,19.124,20.454,1.6464,38.649,172.435,0.7318,surface
35,6,15.164,50.0,184.84,108.569,5,5.631,12.875,1.685,3.883,0.9714,23.007,88.732,0.13028,no_pd
36,1,18.298,50.0,235.431,28.003,56,14.849,33.613,7.949,27.756,0.5468,48.084,200.976,0.72721,internal
37,4,17.016,50.0,112.388,53.579,41,51.905,130.86,13.095,19.587,0.8735,42.621,158.164,0.58439,surface
38,3,10.134,50.0,177.468,106.443,8,4.684,8.757,1.151,3.526,0.7733,24.34,114.64,0.198,no_pd
39,2,21.889,50.0,90.079,19.594,26,25.67,59.493,13.761,13.285,1.3519,32.803,113.858,0.5183,corona
40,8,8.858,60.0,103.271,20.264,28,13.476,19.064,5.509,16.963,1.7206,20.591,97.512,0.45182,corona
41,5,18.593,50.0,140.968,55.779,35,86.248,199.241,24.942,16.988,0.9612,38.458,112.85,0.60821,surface
42,8,9.454,60.0,245.475,37.974,55,3.28,5.939,1.48,31.459,1.0363,54.05,187.44,0.79988,internal
43,6,6.742,50.0,152.037,63.95,23,142.17,355.267,26.776,13.717,0.9629,40.819,172.882,0.60691,surface
44,3,11.317,50.0,55.119,40.488,39,209.637,329.992,81.914,20.563,0.9704,43.202,206.207,0.78284,internal
45,1,23.979,50.0,92.812,21.745,27,50.24,101.818,27.267,14.365,1.488,42.449,140.785,0.3497,corona
46,4,7.735,50.0,215.815,93.628,14,10.496,26.066,4.085,6.462,1.2523,14.718,66.365,0.18651,no_pd
47,8,21.971,50.0,148.056,50.36,24,111.847,287.397,30.911,11.314,1.4507,45.853,166.282,0.589,surface
48,2,21.876,50.0,170.811,101.638,13,13.829,20.925,3.088,9.503,1.4856,20.062,75.209,0.18581,no_pd
49,7,18.704,50.0,172.248,102.325,12,4.616,10.92,1.505,7.593,0.7161,26.581,106.167,0.37971,no_pd
50,3,15.351,50.0,97.712,29.217,24,10.866,27.386,5.686,13.741,1.7273,26.142,86.073,0.44206,corona
51,1,21.564,50.0,140.867,54.892,33,77.208,114.941,39.056,14.867,1.3158,35.098,170.252,0.53786,surface
52,4,20.693,60.0,50.597,31.446,43,126.398,290.476,29.75,26.209,1.1515,50.645,176.762,0.7834,internal
53,8,10.937,60.0,154.852,50.891,24,71.398,167.428,33.675,17.231,1.2293,48.902,152.788,0.63562,surface
54,1,23.009,50.0,67.931,35.568,33,176.385,269.257,83.181,14.635,0.7228,49.506,173.67,0.83662,internal
55,4,10.436,50.0,149.119,58.734,38,171.159,400.885,72.133,22.385,0.8425,40.715,163.129,0.49872,surface
56,8,22.894,50.0,172.029,83.751,8,0.5,0.838,0.209,4.89,0.9619,20.291,99.359,0.20199,no_pd
57,3,17.536,50.0,86.326,19.617,19,73.974,97.625,31.769,10.019,1.8689,35.909,166.94,0.31684,corona
58,3,20.446,60.0,100.052,19.355,27,68.469,173.591,36.525,15.833,1.7744,34.052,110.342,0.38237,corona
59,2,13.094,50.0,141.733,59.584,27,61.748,130.957,30.46,14.868,1.358,39.57,155.719,0.61556,surface
60,8,15.133,50.0,160.998,60.961,9,14.197,24.074,5.233,3.311,1.0512,19.757,113.814,0.26463,no_pd
61,1,16.18,50.0,165.172,115.0,19,7.097,14.576,3.518,8.959,0.8724,19.848,98.677,0.2918,no_pd
62,3,9.218,60.0,138.263,53.351,25,131.409,171.489,69.394,15.01,1.328,39.703,196.265,0.68623,surface
