sample_id,profile_id,speed_rpm,torque_nm,current_a,voltage_v,temperature_c,vibration_rms_mm_s,acoustic_db,cooling_flow_lpm,efficiency,pressure_kpa,output_power_w,true_mode_label,mode_id,anomaly_flag,health_score,maintenance_priority
1,4,2381.8,6.38916,14.6283,96.534,45.553,2.1899,54.213,15.227,0.8836,97.445,1593.621,sensor_drift,5,1,1.0,low
2,6,2979.5,8.35411,17.1871,96.564,47.986,1.4968,54.536,18.394,0.90474,102.48,2606.544,nominal,1,0,1.0,low
3,2,1018.4,3.45685,5.6584,95.034,38.82,1.0653,51.007,17.487,0.87408,100.114,368.68,idle,0,0,1.0,low
4,1,2898.1,6.88526,18.177,299.752,45.656,1.6331,55.973,16.605,0.83031,95.932,2089.622,nominal,1,0,1.0,low
5,3,4713.3,13.06525,32.7475,94.128,79.408,2.7742,54.77,14.791,0.80916,99.474,6448.696,high_load,2,0,0.96707,low
6,3,2312.6,6.24702,12.1071,95.969,37.362,2.72,55.409,14.689,0.87645,100.582,1512.84,sensor_drift,5,1,1.0,low
7,4,3538.7,9.22645,18.6957,301.91,47.914,1.3809,51.027,18.172,0.88945,96.898,3419.069,nominal,1,0,1.0,low
8,6,1227.2,2.89427,7.208,300.024,26.065,1.1026,52.694,16.682,0.87492,99.801,371.952,idle,0,0,1.0,low
9,4,1201.1,2.58624,5.5647,46.626,37.905,1.1552,52.099,15.393,0.92181,100.654,325.301,idle,0,0,1.0,low
10,5,4121.9,17.47428,42.1532,96.356,76.465,2.863,59.733,14.201,0.87353,101.617,7542.739,high_load,2,0,0.90584,low
11,5,3321.6,10.21248,29.5457,299.177,91.541,2.4712,57.581,8.638,0.77998,103.221,3552.309,cooling_degraded,3,1,0.92461,low
12,1,3842.7,9.87818,24.8889,95.102,94.316,2.9825,59.398,6.075,0.84927,105.126,3975.009,cooling_degraded,3,1,0.91489,low
13,5,1014.1,3.11779,5.6749,95.654,33.534,1.0445,49.098,16.957,0.87253,98.526,331.11,idle,0,0,1.0,low
14,4,1121.7,3.47816,6.8771,298.496,30.227,0.9607,48.458,18.138,0.89381,99.083,408.552,idle,0,0,1.0,low
15,6,4374.3,10.43423,25.0932,95.447,89.966,2.3715,52.692,6.595,0.78422,102.957,4779.702,cooling_degraded,3,1,0.93012,low
16,5,1158.0,3.17329,6.2761,98.533,23.046,0.9196,55.743,18.35,0.89744,101.938,384.824,idle,0,0,1.0,low
17,3,2490.2,5.84983,13.7233,98.289,44.845,2.617,60.935,17.073,0.90292,99.978,1525.454,sensor_drift,5,1,1.0,low
18,4,3925.2,10.10476,26.1927,299.392,94.106,2.8124,55.976,8.348,0.83102,99.291,4153.53,cooling_degraded,3,1,0.91563,low
19,2,3223.1,6.53213,19.477,300.428,45.092,1.8056,50.192,19.83,0.87662,96.427,2204.737,nominal,1,0,1.0,low
20,4,4429.2,14.12872,43.7255,299.227,74.228,2.6255,61.193,14.406,0.84531,102.723,6553.254,high_load,2,0,0.89795,low
21,3,4406.9,10.15931,21.0045,48.15,97.259,2.6614,59.725,6.686,0.81199,100.701,4688.375,cooling_degraded,3,1,0.90459,low
22,2,2151.2,5.14953,11.145,48.752,44.234,1.9979,54.909,15.093,0.8604,99.293,1160.053,sensor_drift,5,1,1.0,low
23,1,3511.4,7.90768,20.8482,96.344,54.882,1.133,54.325,15.43,0.92038,101.168,2907.758,nominal,1,0,1.0,low
24,6,4069.8,11.61733,24.5583,93.537,88.004,2.8689,58.523,8.494,0.86092,100.051,4951.21,cooling_degraded,3,1,0.93699,low
25,3,3248.2,7.17532,16.9647,299.812,47.398,1.4353,52.209,14.592,0.93012,100.288,2440.707,nominal,1,0,1.0,low
26,2,3043.2,6.84161,11.0283,299.565,61.395,8.5006,76.091,17.192,0.8659,99.053,2180.336,vibration_alarm,4,1,0.72497,low
27,4,2957.2,7.12923,18.4745,97.421,50.564,1.7486,54.675,14.659,0.88055,98.938,2207.729,nominal,1,0,1.0,low
