sample_id,output_power_w,true_mode_label,mode_id,anomaly_flag,health_score,maintenance_priority
1,1593.621,sensor_drift,5,1,1.0,low
2,2606.544,nominal,1,0,1.0,low
3,368.68,idle,0,0,1.0,low
4,2089.622,nominal,1,0,1.0,low
5,6448.696,high_load,2,0,0.96707,low
6,1512.84,sensor_drift,5,1,1.0,low
7,3419.069,nominal,1,0,1.0,low
8,371.952,idle,0,0,1.0,low
9,325.301,idle,0,0,1.0,low
10,7542.739,high_load,2,0,0.90584,low
11,3552.309,cooling_degraded,3,1,0.92461,low
12,3975.009,cooling_degraded,3,1,0.91489,low
13,331.11,idle,0,0,1.0,low
14,408.552,idle,0,0,1.0,low
15,4779.702,cooling_degraded,3,1,0.93012,low
16,384.824,idle,0,0,1.0,low
17,1525.454,sensor_drift,5,1,1.0,low
18,4153.53,cooling_degraded,3,1,0.91563,low
19,2204.737,nominal,1,0,1.0,low
20,6553.254,high_load,2,0,0.89795,low
21,4688.375,cooling_degraded,3,1,0.90459,low
22,1160.053,sensor_drift,5,1,1.0,low
23,2907.758,nominal,1,0,1.0,low
24,4951.21,cooling_degraded,3,1,0.93699,low
25,2440.707,nominal,1,0,1.0,low
26,2180.336,vibration_alarm,4,1,0.72497,low
27,2207.729,nominal,1,0,1.0,low
28,2213.923,nominal,1,0,1.0,low
29,309.38,idle,0,0,1.0,low
30,7902.18,high_load,2,0,0.97624,low
31,432.429,idle,0,0,1.0,low
32,3176.994,nominal,1,0,1.0,low
33,380.769,idle,0,0,1.0,low
34,3144.49,nominal,1,0,1.0,low
35,456.115,idle,0,0,1.0,low
36,380.593,idle,0,0,1.0,low
37,4364.864,cooling_degraded,3,1,0.94668,low
38,386.406,idle,0,0,1.0,low
39,368.311,idle,0,0,1.0,low
40,392.266,idle,0,0,1.0,low
41,8254.264,high_load,2,0,0.91428,low
42,1352.665,sensor_drift,5,1,1.0,low
43,8016.187,high_load,2,0,0.93026,low
44,2131.128,nominal,1,0,1.0,low
45,8107.459,high_load,2,0,0.92902,low
46,6847.239,high_load,2,0,0.935,low
47,8193.199,high_load,2,0,0.92016,low
48,323.686,idle,0,0,1.0,low
49,1923.214,vibration_alarm,4,1,0.94632,low
50,8484.278,high_load,2,0,0.9835,low
51,413.817,idle,0,0,1.0,low
52,311.725,idle,0,0,1.0,low
53,401.465,idle,0,0,1.0,low
54,1199.821,sensor_drift,5,1,1.0,low
55,2665.855,nominal,1,0,1.0,low
56,2707.19,nominal,1,0,1.0,low
57,3750.413,cooling_degraded,3,1,0.89952,low
58,2708.918,nominal,1,0,1.0,low
59,9549.301,high_load,2,0,0.87763,low
60,8431.001,high_load,2,0,0.95774,low
61,362.728,idle,0,0,1.0,low
62,6897.664,high_load,2,0,0.9359,low
63,1611.866,vibration_alarm,4,1,0.84035,low
64,368.977,idle,0,0,1.0,low
65,2302.794,vibration_alarm,4,1,0.96865,low
66,382.616,idle,0,0,1.0,low
67,283.56,idle,0,0,1.0,low
68,3240.181,nominal,1,0,1.0,low
69,7840.586,high_load,2,0,0.97978,low
70,449.896,idle,0,0,1.0,low
71,8515.668,high_load,2,0,0.8692,low
72,3194.36,nominal,1,0,1.0,low
73,414.854,idle,0,0,1.0,low
74,2602.869,vibration_alarm,4,1,0.87368,low
75,3524.942,nominal,1,0,1.0,low
76,413.616,idle,0,0,1.0,low
77,3897.087,cooling_degraded,3,1,0.90995,low
78,1344.035,sensor_drift,5,1,1.0,low
79,2221.683,nominal,1,0,1.0,low
80,3253.555,cooling_degraded,3,1,0.93334,low
81,2797.376,nominal,1,0,1.0,low
82,6855.993,high_load,2,0,0.82359,low
83,1713.659,vibration_alarm,4,1,0.88789,low
84,9704.501,high_load,2,0,0.93546,low
85,2273.856,vibration_alarm,4,1,0.86114,low
86,325.922,idle,0,0,1.0,low
87,2728.26,vibration_alarm,4,1,0.71692,low
88,2281.923,vibration_alarm,4,1,0.89526,low
89,3392.6,nominal,1,0,1.0,low
90,3744.604,cooling_degraded,3,1,0.8991,low
91,367.296,idle,0,0,1.0,low
92,3567.134,cooling_degraded,3,1,0.91433,low
93,8475.161,high_load,2,0,0.89867,low
94,2606.839,nominal,1,0,1.0,low
95,301.472,idle,0,0,1.0,low
96,1911.673,vibration_alarm,4,1,0.74575,low
97,2392.664,nominal,1,0,1.0,low
98,331.061,idle,0,0,1.0,low
99,2584.109,vibration_alarm,4,1,0.90092,low
100,2697.439,nominal,1,0,1.0,low
101,2479.788,nominal,1,0,1.0,low
102,2838.37,nominal,1,0,1.0,low
103,3258.647,cooling_degraded,3,1,0.92455,low
104,297.499,idle,0,0,1.0,low
105,4248.835,cooling_degraded,3,1,0.90768,low
106,402.476,idle,0,0,1.0,low
107,2705.767,nominal,1,0,1.0,low
108,4465.185,cooling_degraded,3,1,0.90245,low
109,6922.678,high_load,2,0,0.9643,low
110,1629.635,sensor_drift,5,1,1.0,low
111,3952.287,cooling_degraded,3,1,0.92741,low
112,2453.871,nominal,1,0,1.0,low
113,1292.009,sensor_drift,5,1,1.0,low
114,3089.883,nominal,1,0,1.0,low
115,1969.607,vibration_alarm,4,1,0.81131,low
116,2763.336,nominal,1,0,1.0,low
117,2648.232,nominal,1,0,1.0,low
118,2592.966,nominal,1,0,1.0,low
119,6781.098,high_load,2,0,0.98208,low
