sample_id,state_code,direct_state_label,true_pulse_count,noise_std_v,interference_freq_khz,first_pulse_index,leakage_pd_indicator
1,1,rare_pd,1,0.022,0.0,97,1
2,2,frequent_pd,7,0.026,0.0,79,1
3,3,noisy,1,0.06,0.0,102,0
4,4,external_interference,0,0.03,240.0,-1,0
5,1,rare_pd,1,0.022,0.0,94,1
6,2,frequent_pd,7,0.026,0.0,87,1
7,3,noisy,2,0.06,0.0,96,0
8,1,rare_pd,3,0.022,0.0,43,1
9,3,noisy,0,0.06,0.0,-1,0
10,1,rare_pd,3,0.022,0.0,15,1
11,2,frequent_pd,4,0.026,0.0,27,1
12,0,normal,0,0.018,0.0,-1,0
13,3,noisy,0,0.06,0.0,-1,0
14,3,noisy,0,0.06,0.0,-1,0
15,0,normal,0,0.018,0.0,-1,0
16,3,noisy,0,0.06,0.0,-1,0
17,2,frequent_pd,5,0.026,0.0,16,1
18,3,noisy,0,0.06,0.0,-1,0
19,2,frequent_pd,5,0.026,0.0,45,1
20,4,external_interference,0,0.03,240.0,-1,0
21,4,external_interference,0,0.03,240.0,-1,0
22,4,external_interference,0,0.03,240.0,-1,0
23,3,noisy,0,0.06,0.0,-1,0
24,4,external_interference,1,0.03,240.0,24,0
25,2,frequent_pd,4,0.026,0.0,100,1
26,1,rare_pd,2,0.022,0.0,58,1
27,2,frequent_pd,8,0.026,0.0,61,1
28,4,external_interference,0,0.03,240.0,-1,0
29,3,noisy,0,0.06,0.0,-1,0
30,3,noisy,0,0.06,0.0,-1,0
31,1,rare_pd,2,0.022,0.0,13,1
32,4,external_interference,0,0.03,240.0,-1,0
33,4,external_interference,0,0.03,240.0,-1,0
34,3,noisy,1,0.06,0.0,20,0
35,1,rare_pd,1,0.022,0.0,64,1
36,3,noisy,0,0.06,0.0,-1,0
37,1,rare_pd,2,0.022,0.0,32,1
38,3,noisy,0,0.06,0.0,-1,0
39,1,rare_pd,1,0.022,0.0,77,1
40,2,frequent_pd,7,0.026,0.0,91,1
41,2,frequent_pd,5,0.026,0.0,90,1
42,2,frequent_pd,6,0.026,0.0,92,1
43,3,noisy,0,0.06,0.0,-1,0
44,0,normal,0,0.018,0.0,-1,0
45,2,frequent_pd,5,0.026,0.0,111,1
46,4,external_interference,0,0.03,240.0,-1,0
47,2,frequent_pd,5,0.026,0.0,111,1
48,4,external_interference,0,0.03,240.0,-1,0
49,1,rare_pd,2,0.022,0.0,61,1
50,4,external_interference,0,0.03,240.0,-1,0
51,1,rare_pd,2,0.022,0.0,68,1
52,2,frequent_pd,7,0.026,0.0,79,1
53,0,normal,0,0.018,0.0,-1,0
54,3,noisy,0,0.06,0.0,-1,0
55,2,frequent_pd,8,0.026,0.0,21,1
56,4,external_interference,2,0.03,240.0,17,0
57,3,noisy,2,0.06,0.0,18,0
58,2,frequent_pd,8,0.026,0.0,62,1
59,0,normal,0,0.018,0.0,-1,0
60,3,noisy,0,0.06,0.0,-1,0
61,1,rare_pd,2,0.022,0.0,49,1
62,2,frequent_pd,4,0.026,0.0,88,1
63,3,noisy,2,0.06,0.0,23,0
64,3,noisy,2,0.06,0.0,38,0
65,3,noisy,0,0.06,0.0,-1,0
66,0,normal,0,0.018,0.0,-1,0
67,0,normal,0,0.018,0.0,-1,0
68,3,noisy,0,0.06,0.0,-1,0
69,0,normal,0,0.018,0.0,-1,0
70,4,external_interference,0,0.03,240.0,-1,0
71,4,external_interference,0,0.03,240.0,-1,0
72,1,rare_pd,2,0.022,0.0,100,1
73,4,external_interference,0,0.03,240.0,-1,0
74,1,rare_pd,3,0.022,0.0,105,1
75,4,external_interference,0,0.03,240.0,-1,0
76,3,noisy,0,0.06,0.0,-1,0
77,0,normal,0,0.018,0.0,-1,0
78,1,rare_pd,2,0.022,0.0,96,1
79,1,rare_pd,1,0.022,0.0,92,1
80,1,rare_pd,3,0.022,0.0,24,1
81,1,rare_pd,1,0.022,0.0,49,1
82,4,external_interference,0,0.03,240.0,-1,0
83,2,frequent_pd,8,0.026,0.0,52,1
84,2,frequent_pd,8,0.026,0.0,92,1
85,3,noisy,0,0.06,0.0,-1,0
86,0,normal,0,0.018,0.0,-1,0
87,0,normal,0,0.018,0.0,-1,0
88,1,rare_pd,2,0.022,0.0,101,1
89,1,rare_pd,2,0.022,0.0,55,1
90,4,external_interference,0,0.03,240.0,-1,0
91,4,external_interference,0,0.03,240.0,-1,0
92,3,noisy,2,0.06,0.0,70,0
93,1,rare_pd,3,0.022,0.0,36,1
94,0,normal,0,0.018,0.0,-1,0
95,2,frequent_pd,6,0.026,0.0,100,1
96,0,normal,0,0.018,0.0,-1,0
97,2,frequent_pd,7,0.026,0.0,28,1
98,4,external_interference,0,0.03,240.0,-1,0
99,3,noisy,0,0.06,0.0,-1,0
100,1,rare_pd,3,0.022,0.0,96,1
101,4,external_interference,0,0.03,240.0,-1,0
102,2,frequent_pd,7,0.026,0.0,91,1
103,2,frequent_pd,7,0.026,0.0,108,1
104,0,normal,0,0.018,0.0,-1,0
105,4,external_interference,0,0.03,240.0,-1,0
106,2,frequent_pd,6,0.026,0.0,58,1
107,0,normal,0,0.018,0.0,-1,0
108,4,external_interference,0,0.03,240.0,-1,0
109,3,noisy,0,0.06,0.0,-1,0
110,1,rare_pd,3,0.022,0.0,45,1
111,0,normal,0,0.018,0.0,-1,0
112,4,external_interference,0,0.03,240.0,-1,0
113,0,normal,0,0.018,0.0,-1,0
114,4,external_interference,0,0.03,240.0,-1,0
115,2,frequent_pd,6,0.026,0.0,18,1
116,2,frequent_pd,7,0.026,0.0,81,1
117,0,normal,0,0.018,0.0,-1,0
118,2,frequent_pd,7,0.026,0.0,19,1
119,0,normal,0,0.018,0.0,-1,0
120,4,external_interference,0,0.03,240.0,-1,0
121,1,rare_pd,2,0.022,0.0,79,1
122,4,external_interference,0,0.03,240.0,-1,0
123,1,rare_pd,3,0.022,0.0,37,1
124,2,frequent_pd,8,0.026,0.0,101,1
125,1,rare_pd,3,0.022,0.0,21,1
126,0,normal,0,0.018,0.0,-1,0
127,4,external_interference,0,0.03,240.0,-1,0
128,0,normal,0,0.018,0.0,-1,0
129,3,noisy,0,0.06,0.0,-1,0
130,3,noisy,1,0.06,0.0,18,0
131,1,rare_pd,1,0.022,0.0,74,1
132,4,external_interference,0,0.03,240.0,-1,0
133,3,noisy,0,0.06,0.0,-1,0
134,1,rare_pd,1,0.022,0.0,15,1
135,0,normal,0,0.018,0.0,-1,0
136,1,rare_pd,1,0.022,0.0,31,1
137,1,rare_pd,3,0.022,0.0,12,1
138,3,noisy,0,0.06,0.0,-1,0
139,2,frequent_pd,4,0.026,0.0,48,1
140,2,frequent_pd,7,0.026,0.0,101,1
141,1,rare_pd,2,0.022,0.0,78,1
142,0,normal,0,0.018,0.0,-1,0
143,3,noisy,1,0.06,0.0,26,0
144,0,normal,0,0.018,0.0,-1,0
145,4,external_interference,0,0.03,240.0,-1,0
146,0,normal,0,0.018,0.0,-1,0
147,4,external_interference,0,0.03,240.0,-1,0
148,1,rare_pd,2,0.022,0.0,83,1
149,0,normal,0,0.018,0.0,-1,0
150,4,external_interference,0,0.03,240.0,-1,0
151,4,external_interference,0,0.03,240.0,-1,0
152,0,normal,0,0.018,0.0,-1,0
153,3,noisy,2,0.06,0.0,77,0
154,4,external_interference,0,0.03,240.0,-1,0
155,0,normal,0,0.018,0.0,-1,0
156,4,external_interference,0,0.03,240.0,-1,0
157,4,external_interference,0,0.03,240.0,-1,0
158,0,normal,0,0.018,0.0,-1,0
159,4,external_interference,0,0.03,240.0,-1,0
160,1,rare_pd,2,0.022,0.0,74,1
161,4,external_interference,0,0.03,240.0,-1,0
162,3,noisy,0,0.06,0.0,-1,0
163,1,rare_pd,2,0.022,0.0,20,1
164,0,normal,0,0.018,0.0,-1,0
165,2,frequent_pd,7,0.026,0.0,59,1
166,0,normal,0,0.018,0.0,-1,0
167,3,noisy,0,0.06,0.0,-1,0
168,2,frequent_pd,7,0.026,0.0,79,1
169,0,normal,0,0.018,0.0,-1,0
170,2,frequent_pd,8,0.026,0.0,13,1
171,3,noisy,2,0.06,0.0,96,0
172,2,frequent_pd,4,0.026,0.0,29,1
173,4,external_interference,0,0.03,240.0,-1,0
174,3,noisy,0,0.06,0.0,-1,0
175,2,frequent_pd,4,0.026,0.0,45,1
176,3,noisy,0,0.06,0.0,-1,0
177,0,normal,0,0.018,0.0,-1,0
178,4,external_interference,0,0.03,240.0,-1,0
179,4,external_interference,0,0.03,240.0,-1,0
180,4,external_interference,1,0.03,240.0,93,0
181,3,noisy,0,0.06,0.0,-1,0
182,2,frequent_pd,6,0.026,0.0,104,1
183,4,external_interference,0,0.03,240.0,-1,0
184,0,normal,0,0.018,0.0,-1,0
185,0,normal,0,0.018,0.0,-1,0
186,2,frequent_pd,4,0.026,0.0,28,1
187,4,external_interference,0,0.03,240.0,-1,0
188,1,rare_pd,2,0.022,0.0,69,1
189,3,noisy,0,0.06,0.0,-1,0
190,4,external_interference,0,0.03,240.0,-1,0
191,2,frequent_pd,4,0.026,0.0,89,1
192,3,noisy,0,0.06,0.0,-1,0
193,0,normal,0,0.018,0.0,-1,0
194,3,noisy,0,0.06,0.0,-1,0
195,3,noisy,0,0.06,0.0,-1,0
196,3,noisy,0,0.06,0.0,-1,0
197,2,frequent_pd,8,0.026,0.0,60,1
198,3,noisy,0,0.06,0.0,-1,0
199,3,noisy,0,0.06,0.0,-1,0
200,2,frequent_pd,7,0.026,0.0,94,1
201,0,normal,0,0.018,0.0,-1,0
202,2,frequent_pd,8,0.026,0.0,78,1
203,3,noisy,0,0.06,0.0,-1,0
204,1,rare_pd,3,0.022,0.0,48,1
205,2,frequent_pd,5,0.026,0.0,54,1
206,0,normal,0,0.018,0.0,-1,0
207,2,frequent_pd,7,0.026,0.0,92,1
208,1,rare_pd,2,0.022,0.0,63,1
209,1,rare_pd,2,0.022,0.0,18,1
210,4,external_interference,0,0.03,240.0,-1,0
211,3,noisy,0,0.06,0.0,-1,0
212,2,frequent_pd,6,0.026,0.0,54,1
213,2,frequent_pd,8,0.026,0.0,95,1
214,2,frequent_pd,7,0.026,0.0,79,1
215,1,rare_pd,2,0.022,0.0,101,1
216,0,normal,0,0.018,0.0,-1,0
217,2,frequent_pd,4,0.026,0.0,97,1
218,3,noisy,1,0.06,0.0,75,0
219,3,noisy,2,0.06,0.0,46,0
220,4,external_interference,0,0.03,240.0,-1,0
221,1,rare_pd,1,0.022,0.0,51,1
222,2,frequent_pd,7,0.026,0.0,59,1
223,4,external_interference,0,0.03,240.0,-1,0
224,1,rare_pd,3,0.022,0.0,70,1
225,1,rare_pd,3,0.022,0.0,100,1
226,3,noisy,1,0.06,0.0,62,0
227,2,frequent_pd,6,0.026,0.0,109,1
228,4,external_interference,0,0.03,240.0,-1,0
229,1,rare_pd,2,0.022,0.0,43,1
230,4,external_interference,0,0.03,240.0,-1,0
231,1,rare_pd,3,0.022,0.0,61,1
232,3,noisy,2,0.06,0.0,110,0
233,4,external_interference,0,0.03,240.0,-1,0
234,1,rare_pd,1,0.022,0.0,109,1
235,4,external_interference,0,0.03,240.0,-1,0
236,2,frequent_pd,5,0.026,0.0,39,1
237,2,frequent_pd,8,0.026,0.0,88,1
238,4,external_interference,0,0.03,240.0,-1,0
239,0,normal,0,0.018,0.0,-1,0
240,0,normal,0,0.018,0.0,-1,0
241,1,rare_pd,1,0.022,0.0,98,1
242,1,rare_pd,2,0.022,0.0,41,1
243,2,frequent_pd,7,0.026,0.0,98,1
244,2,frequent_pd,7,0.026,0.0,28,1
245,4,external_interference,0,0.03,240.0,-1,0
246,2,frequent_pd,4,0.026,0.0,108,1
247,4,external_interference,0,0.03,240.0,-1,0
248,1,rare_pd,2,0.022,0.0,12,1
249,2,frequent_pd,6,0.026,0.0,75,1
250,0,normal,0,0.018,0.0,-1,0
251,3,noisy,0,0.06,0.0,-1,0
252,1,rare_pd,2,0.022,0.0,26,1
253,4,external_interference,0,0.03,240.0,-1,0
254,0,normal,0,0.018,0.0,-1,0
255,0,normal,0,0.018,0.0,-1,0
256,4,external_interference,0,0.03,240.0,-1,0
257,0,normal,0,0.018,0.0,-1,0
258,2,frequent_pd,5,0.026,0.0,53,1
259,4,external_interference,0,0.03,240.0,-1,0
260,2,frequent_pd,5,0.026,0.0,33,1
261,1,rare_pd,3,0.022,0.0,58,1
262,4,external_interference,0,0.03,240.0,-1,0
263,3,noisy,0,0.06,0.0,-1,0
264,0,normal,0,0.018,0.0,-1,0
265,1,rare_pd,1,0.022,0.0,21,1
266,2,frequent_pd,6,0.026,0.0,89,1
267,2,frequent_pd,8,0.026,0.0,40,1
268,2,frequent_pd,5,0.026,0.0,30,1
269,0,normal,0,0.018,0.0,-1,0
270,3,noisy,0,0.06,0.0,-1,0
271,0,normal,0,0.018,0.0,-1,0
272,2,frequent_pd,5,0.026,0.0,68,1
273,0,normal,0,0.018,0.0,-1,0
274,1,rare_pd,1,0.022,0.0,61,1
275,1,rare_pd,1,0.022,0.0,43,1
276,3,noisy,0,0.06,0.0,-1,0
277,2,frequent_pd,7,0.026,0.0,52,1
278,0,normal,0,0.018,0.0,-1,0
279,4,external_interference,0,0.03,240.0,-1,0
280,1,rare_pd,3,0.022,0.0,106,1
281,0,normal,0,0.018,0.0,-1,0
282,4,external_interference,0,0.03,240.0,-1,0
283,3,noisy,0,0.06,0.0,-1,0
284,0,normal,0,0.018,0.0,-1,0
285,1,rare_pd,3,0.022,0.0,47,1
286,0,normal,0,0.018,0.0,-1,0
287,3,noisy,0,0.06,0.0,-1,0
288,2,frequent_pd,7,0.026,0.0,65,1
289,1,rare_pd,3,0.022,0.0,107,1
290,1,rare_pd,2,0.022,0.0,111,1
291,1,rare_pd,1,0.022,0.0,77,1
292,0,normal,0,0.018,0.0,-1,0
293,0,normal,0,0.018,0.0,-1,0
294,3,noisy,0,0.06,0.0,-1,0
295,1,rare_pd,2,0.022,0.0,56,1
296,2,frequent_pd,6,0.026,0.0,107,1
297,2,frequent_pd,4,0.026,0.0,94,1
298,3,noisy,0,0.06,0.0,-1,0
299,4,external_interference,0,0.03,240.0,-1,0
300,3,noisy,0,0.06,0.0,-1,0
301,2,frequent_pd,6,0.026,0.0,49,1
302,1,rare_pd,3,0.022,0.0,28,1
303,2,frequent_pd,8,0.026,0.0,40,1
304,3,noisy,0,0.06,0.0,-1,0
305,4,external_interference,0,0.03,240.0,-1,0
306,2,frequent_pd,8,0.026,0.0,106,1
307,1,rare_pd,1,0.022,0.0,30,1
308,2,frequent_pd,8,0.026,0.0,94,1
309,3,noisy,0,0.06,0.0,-1,0
310,1,rare_pd,3,0.022,0.0,25,1
311,0,normal,0,0.018,0.0,-1,0
312,1,rare_pd,3,0.022,0.0,39,1
313,4,external_interference,0,0.03,240.0,-1,0
314,3,noisy,0,0.06,0.0,-1,0
315,2,frequent_pd,5,0.026,0.0,18,1
316,3,noisy,0,0.06,0.0,-1,0
317,0,normal,0,0.018,0.0,-1,0
318,4,external_interference,0,0.03,240.0,-1,0
319,4,external_interference,0,0.03,240.0,-1,0
320,1,rare_pd,3,0.022,0.0,99,1
321,2,frequent_pd,7,0.026,0.0,82,1
322,0,normal,0,0.018,0.0,-1,0
323,3,noisy,2,0.06,0.0,90,0
324,4,external_interference,0,0.03,240.0,-1,0
325,0,normal,0,0.018,0.0,-1,0
326,2,frequent_pd,8,0.026,0.0,50,1
327,4,external_interference,0,0.03,240.0,-1,0
328,4,external_interference,0,0.03,240.0,-1,0
329,3,noisy,0,0.06,0.0,-1,0
330,0,normal,0,0.018,0.0,-1,0
331,4,external_interference,0,0.03,240.0,-1,0
332,3,noisy,0,0.06,0.0,-1,0
333,4,external_interference,0,0.03,240.0,-1,0
334,0,normal,0,0.018,0.0,-1,0
335,1,rare_pd,2,0.022,0.0,80,1
336,4,external_interference,0,0.03,240.0,-1,0
337,0,normal,0,0.018,0.0,-1,0
338,0,normal,0,0.018,0.0,-1,0
339,2,frequent_pd,6,0.026,0.0,60,1
340,1,rare_pd,1,0.022,0.0,20,1
341,4,external_interference,0,0.03,240.0,-1,0
342,3,noisy,0,0.06,0.0,-1,0
343,0,normal,0,0.018,0.0,-1,0
344,1,rare_pd,2,0.022,0.0,33,1
345,3,noisy,0,0.06,0.0,-1,0
346,3,noisy,0,0.06,0.0,-1,0
347,0,normal,0,0.018,0.0,-1,0
348,1,rare_pd,1,0.022,0.0,40,1
349,0,normal,0,0.018,0.0,-1,0
350,0,normal,0,0.018,0.0,-1,0
351,1,rare_pd,1,0.022,0.0,100,1
352,0,normal,0,0.018,0.0,-1,0
353,1,rare_pd,1,0.022,0.0,34,1
354,4,external_interference,0,0.03,240.0,-1,0
355,3,noisy,0,0.06,0.0,-1,0
356,0,normal,0,0.018,0.0,-1,0
357,0,normal,0,0.018,0.0,-1,0
358,0,normal,0,0.018,0.0,-1,0
359,3,noisy,0,0.06,0.0,-1,0
360,3,noisy,0,0.06,0.0,-1,0
361,0,normal,0,0.018,0.0,-1,0
362,2,frequent_pd,7,0.026,0.0,44,1
363,2,frequent_pd,5,0.026,0.0,70,1
364,4,external_interference,0,0.03,240.0,-1,0
365,0,normal,0,0.018,0.0,-1,0
366,1,rare_pd,2,0.022,0.0,110,1
367,2,frequent_pd,4,0.026,0.0,79,1
368,1,rare_pd,3,0.022,0.0,109,1
369,0,normal,0,0.018,0.0,-1,0
370,4,external_interference,0,0.03,240.0,-1,0
371,1,rare_pd,1,0.022,0.0,37,1
372,1,rare_pd,2,0.022,0.0,93,1
373,1,rare_pd,1,0.022,0.0,76,1
374,3,noisy,1,0.06,0.0,86,0
375,0,normal,0,0.018,0.0,-1,0
376,3,noisy,0,0.06,0.0,-1,0
377,1,rare_pd,1,0.022,0.0,67,1
378,3,noisy,2,0.06,0.0,17,0
379,1,rare_pd,1,0.022,0.0,92,1
380,1,rare_pd,2,0.022,0.0,89,1
381,4,external_interference,0,0.03,240.0,-1,0
382,1,rare_pd,2,0.022,0.0,107,1
383,4,external_interference,0,0.03,240.0,-1,0
384,3,noisy,0,0.06,0.0,-1,0
385,2,frequent_pd,7,0.026,0.0,43,1
386,0,normal,0,0.018,0.0,-1,0
387,0,normal,0,0.018,0.0,-1,0
388,0,normal,0,0.018,0.0,-1,0
389,0,normal,0,0.018,0.0,-1,0
390,2,frequent_pd,8,0.026,0.0,110,1
391,3,noisy,0,0.06,0.0,-1,0
392,4,external_interference,0,0.03,240.0,-1,0
393,2,frequent_pd,4,0.026,0.0,56,1
394,1,rare_pd,3,0.022,0.0,91,1
395,2,frequent_pd,8,0.026,0.0,65,1
396,4,external_interference,0,0.03,240.0,-1,0
397,0,normal,0,0.018,0.0,-1,0
398,3,noisy,0,0.06,0.0,-1,0
399,3,noisy,0,0.06,0.0,-1,0
400,2,frequent_pd,8,0.026,0.0,59,1
