scenario_id,bus_0_vm_pu,bus_1_vm_pu,bus_2_vm_pu,bus_3_vm_pu,bus_4_vm_pu,bus_5_vm_pu,bus_0_va_degree,bus_1_va_degree,bus_2_va_degree,bus_3_va_degree,bus_4_va_degree,bus_5_va_degree,ac_line_1_p_mw,ac_line_2_p_mw,ac_line_3_p_mw,ac_line_4_p_mw,ac_line_5_p_mw,ac_line_6_p_mw,ac_line_7_p_mw,ac_line_1_loading_percent,ac_line_2_loading_percent,ac_line_3_loading_percent,ac_line_4_loading_percent,ac_line_5_loading_percent,ac_line_6_loading_percent,ac_line_7_loading_percent,voltage_violation,line_overload
1,1.02,1.01077,1.00065,1.01,1.0017,0.99889,0.0,-1.629,-2.8224,-2.2242,-2.8771,-3.1022,62.80635,38.30071,24.05161,1.23737,34.67572,9.1651,7.5794,72.065,45.348,28.212,3.464,43.381,11.643,8.962,0,0
2,1.02,1.02101,1.01443,1.02678,1.01757,1.01413,0.0,-1.6593,-2.7689,-2.3199,-2.8146,-3.0076,59.32572,35.24291,23.65062,0.0514,28.96973,8.60252,6.21289,70.406,40.453,35.392,7.417,39.179,11.758,7.381,0,0
3,1.02,1.01442,1.00266,1.01905,1.0059,1.0013,0.0,-2.6974,-4.4316,-3.8486,-4.5944,-4.8267,99.65503,54.80584,43.70049,3.65477,42.48647,10.36608,10.34872,114.639,63.679,56.194,9.68,57.073,14.852,12.097,0,1
4,1.02,1.01937,1.01187,1.02416,1.01444,1.01102,0.0,-1.3269,-2.403,-1.7213,-2.3824,-2.6091,48.05971,34.50291,13.28097,-1.81682,36.84291,9.74217,5.54432,56.245,39.933,23.052,6.033,46.772,12.73,6.431,0,0
5,1.02,1.00349,0.98735,1.00148,0.9893,0.98498,0.0,-2.5523,-4.3612,-3.5584,-4.4393,-4.7654,98.94332,57.34493,40.45992,1.51412,46.54916,13.08181,10.60602,114.117,68.825,47.43,5.523,59.921,17.016,12.638,0,1
6,1.02,1.0196,1.0101,1.02687,1.01403,1.00922,0.0,-2.3808,-3.9591,-3.3463,-4.0352,-4.295,86.05953,49.96723,35.20477,0.65315,40.25359,11.58879,8.82707,100.821,57.467,50.273,9.382,54.465,16.032,10.317,0,1
7,1.02,1.01206,1.00224,1.01233,1.00378,1.00019,0.0,-1.807,-3.0522,-2.5217,-3.1143,-3.3777,68.61884,39.76832,28.31183,1.2543,32.25086,10.91464,8.84615,78.468,46.74,33.872,4.487,41.354,14.072,10.43,0,0
8,1.02,1.01906,1.00945,1.0263,1.01288,1.00859,0.0,-2.7506,-4.4463,-3.9599,-4.6368,-4.8486,99.68917,53.38396,45.1209,4.50655,40.01136,9.62336,10.4944,116.444,61.325,61.094,10.714,55.293,13.795,12.304,0,1
9,1.02,1.01646,1.0083,1.01907,1.00989,1.00695,0.0,-1.2038,-2.1979,-1.5525,-2.2067,-2.4301,44.96582,32.18024,12.55315,-0.43649,35.85972,9.30683,6.34074,51.579,37.769,18.214,3.906,45.318,11.836,7.424,0,0
10,1.02,1.01511,1.0037,1.0201,1.00652,1.00168,0.0,-2.7034,-4.4559,-3.8445,-4.6129,-4.8977,99.59283,55.27883,43.16298,3.66752,43.86323,12.32369,11.76804,114.76,64.061,55.999,8.86,58.888,16.753,13.694,0,1
11,1.02,1.0048,0.9908,1.00211,0.99078,0.98721,0.0,-2.2874,-3.8867,-3.1996,-4.0505,-4.3294,88.94386,50.794,37.22834,5.00282,44.76761,11.16389,12.03079,102.678,60.738,43.35,6.19,57.096,14.408,14.568,0,1
12,1.02,1.02061,1.01329,1.02666,1.01644,1.01259,0.0,-1.8098,-3.0375,-2.5196,-3.1093,-3.3246,64.9528,38.95971,25.47957,0.87645,34.00568,9.58597,7.5764,76.728,44.743,37.828,7.757,44.984,13.122,8.855,0,0
13,1.02,1.01162,1.00083,1.01217,1.00259,0.99922,0.0,-1.7375,-3.0038,-2.376,-3.0419,-3.2873,66.3161,40.70784,25.10456,0.40666,36.18979,10.15721,7.62353,75.884,48.176,30.305,4.502,46.384,13.148,8.97,0,0
14,1.02,1.01289,0.99994,1.01759,1.00286,0.99783,0.0,-3.157,-5.1283,-4.5531,-5.3758,-5.634,116.85519,61.90405,53.37612,6.41262,46.83957,11.41499,13.30073,134.222,71.945,67.496,11.54,63.354,16.311,15.53,0,1
15,1.02,1.00337,0.98595,1.00282,0.98777,0.98225,0.0,-3.0878,-5.1763,-4.3783,-5.3401,-5.6961,118.11471,65.65594,50.85324,4.15422,51.94446,14.6257,13.81831,135.485,78.327,60.513,7.542,68.871,19.798,16.634,0,1
