scenario_id,scenario_label,total_load_mw,total_reactive_load_mvar,generator_p_mw,generator_vm_pu,min_vm_pu,max_line_loading_percent,total_line_loss_mw,weak_bus,critical_line
1,base,96.9226,32.5353,35.0,1.01,0.99889,72.065,0.88375,5,1
2,random_operating_point,87.9386,32.6495,29.4418,1.02678,1.01413,70.406,0.82892,5,1
3,random_operating_point,126.9465,44.3314,29.3818,1.01905,1.0013,114.639,2.09033,5,1
4,random_operating_point,91.4322,31.7602,44.0281,1.02416,1.01102,56.245,0.65561,5,1
5,high_load,130.7614,44.9132,33.9256,1.00148,0.98498,114.117,2.10752,5,1
6,random_operating_point,117.8535,41.1984,33.4715,1.02687,1.00922,100.821,1.67753,5,1
7,low_generation,90.9429,31.0777,23.3311,1.01233,1.00019,78.468,1.00704,5,1
8,random_operating_point,122.7861,43.4543,25.2222,1.0263,1.00859,116.444,2.12527,5,1
9,random_operating_point,88.6568,32.1788,44.2587,1.01907,1.00695,51.579,0.56772,5,1
10,high_load,128.5458,44.613,31.0724,1.0201,1.00168,114.76,2.11943,5,1
11,redistributed_load,121.2851,41.9012,34.0691,1.00211,0.98721,102.678,1.72786,5,1
12,random_operating_point,93.0553,32.0915,29.1051,1.02666,1.01259,76.728,1.0026,5,1
13,random_operating_point,101.4574,37.3723,36.1343,1.01217,0.99922,75.884,0.993,5,1
14,low_generation,143.0444,49.8681,29.0049,1.01759,0.99783,134.222,2.81569,5,1
15,high_load,146.5044,51.5398,31.3266,1.00282,0.98225,135.485,2.93691,5,1
16,random_operating_point,103.2627,34.9736,39.9528,1.02142,1.00724,74.33,0.99856,5,1
17,random_operating_point,102.6898,37.6837,25.8265,1.02741,1.0115,92.188,1.39626,5,1
18,random_operating_point,123.6533,44.6217,37.088,1.0158,0.99825,101.093,1.73158,5,1
19,random_operating_point,93.264,30.8284,44.2099,1.00828,0.99743,58.017,0.67236,5,1
20,high_load,110.2395,39.725,28.473,1.00559,0.99156,95.685,1.47203,5,1
21,low_generation,133.9466,45.0553,22.9744,1.01405,0.9964,130.076,2.6039,5,1
22,redistributed_load,122.1642,43.3357,39.6929,1.0103,0.99358,96.221,1.60875,5,1
23,random_operating_point,108.9564,36.6061,36.9771,1.02232,1.00678,84.799,1.25128,5,1
24,random_operating_point,75.528,24.5223,27.8084,1.02611,1.01547,57.73,0.57421,5,1
25,high_load,143.5288,51.0359,31.6336,1.01514,0.9947,131.311,2.73219,5,1
26,random_operating_point,81.5112,27.8895,27.5043,1.02467,1.01355,64.512,0.69374,5,1
27,random_operating_point,120.6954,44.204,32.3723,1.00284,0.98794,103.872,1.73371,5,1
28,low_generation,133.6093,44.7985,23.8652,1.00023,0.9854,129.026,2.50285,5,1
29,random_operating_point,97.7051,33.803,28.1055,1.01224,1.00052,80.803,1.06224,5,1
30,high_load,142.3056,48.6599,39.2399,1.02875,1.00624,123.549,2.55093,5,1
31,random_operating_point,104.4093,36.1068,40.6332,1.01663,1.00277,74.168,0.985,5,1
32,random_operating_point,120.526,41.2782,31.7153,1.01579,0.99964,103.782,1.73392,5,1
33,redistributed_load,141.9656,48.6024,41.3174,1.02269,1.00076,119.087,2.40904,5,1
34,random_operating_point,78.9455,26.8143,35.7692,1.02835,1.01707,53.246,0.54161,2,1
35,high_load,140.4846,50.6659,34.1916,1.01027,0.99116,124.391,2.48867,5,1
36,random_operating_point,130.9656,43.9971,35.9492,1.02171,1.0026,112.065,2.09493,5,1
37,random_operating_point,95.7343,32.0787,43.0749,1.0027,0.99268,63.799,0.73405,5,1
38,random_operating_point,112.1927,40.7024,41.4939,1.01969,1.00303,82.77,1.2368,5,1
39,random_operating_point,83.9795,28.7989,29.9894,1.01913,1.00821,62.925,0.68997,5,1
40,high_load,120.8944,41.4521,28.408,1.02465,1.00637,109.829,1.94076,5,1
41,random_operating_point,127.4338,45.5176,34.3954,1.00487,0.98877,109.074,1.93549,5,1
42,low_generation,109.655,36.3942,18.9394,1.02436,1.00823,107.805,1.79713,5,1
43,random_operating_point,104.9549,37.1066,34.098,1.00045,0.98873,84.561,1.18121,5,1
44,redistributed_load,93.9185,33.6299,41.9929,1.02961,1.014,63.596,0.8325,5,1
45,high_load,136.1713,48.0531,31.3466,1.02001,1.00032,123.586,2.43119,5,1
46,random_operating_point,81.2782,28.4487,38.4552,1.00447,0.99586,52.736,0.53593,5,1
