scenario_id,scenario_label,load_scale,generator_p_mw,generator_vm_pu,load_bus_2_mw,load_bus_2_mvar,load_bus_3_mw,load_bus_3_mvar,load_bus_4_mw,load_bus_4_mvar,load_bus_5_mw,load_bus_5_mvar
1,base,1.0,35.0,1.01,29.2651,10.4014,24.3143,8.08,26.6198,8.8305,16.7234,5.2234
2,random_operating_point,0.8809,29.4418,1.02678,28.804,10.912,24.0267,8.8749,20.3105,7.8871,14.7974,4.9755
3,random_operating_point,1.2,29.3818,1.01905,40.3696,14.8323,30.3518,10.2967,35.5466,11.7926,20.6785,7.4098
4,random_operating_point,0.9092,44.0281,1.02416,30.6055,10.1539,20.4259,6.9603,25.133,9.0073,15.2678,5.6387
5,high_load,1.2504,33.9256,1.00148,44.72,16.804,27.6618,8.7903,34.7358,11.968,23.6438,7.3509
6,random_operating_point,1.1597,33.4715,1.02687,40.1344,13.3821,28.228,9.516,29.1098,11.0088,20.3813,7.2915
7,low_generation,0.9205,23.3311,1.01233,29.4352,10.3101,19.3034,6.1931,22.4734,7.991,19.7309,6.5835
8,random_operating_point,1.1381,25.2222,1.0263,37.9813,13.035,30.0435,10.9636,34.6777,13.1998,20.0836,6.2559
9,random_operating_point,0.8087,44.2587,1.01907,26.1243,9.7456,20.927,7.0006,25.9764,10.2095,15.6291,5.2231
10,high_load,1.2647,31.0724,1.0201,39.4052,12.6513,30.1299,10.5033,34.9656,13.3895,24.0451,8.0689
11,redistributed_load,1.0979,34.0691,1.00211,33.3674,10.7641,26.3839,9.2907,38.3822,14.0851,23.1516,7.7613
12,random_operating_point,0.915,29.1051,1.02666,30.2932,11.1309,20.4692,6.64,25.1544,8.4395,17.1385,5.8811
13,random_operating_point,0.9932,36.1343,1.01217,32.4306,12.2802,24.9782,9.32,26.2922,9.8311,17.7564,5.941
14,low_generation,1.3753,29.0049,1.01759,41.6381,14.4816,35.1889,12.8789,41.5535,14.1237,24.6639,8.3839
15,high_load,1.4274,31.3266,1.00282,47.0291,15.8229,29.9514,9.5264,41.1467,15.636,28.3772,10.5545
16,random_operating_point,1.0153,39.9528,1.02142,32.1051,11.6885,23.6967,7.4008,30.4536,10.3822,17.0073,5.5021
17,random_operating_point,0.9844,25.8265,1.02741,33.87,12.072,21.6256,7.9092,30.0473,11.82,17.1469,5.8825
18,random_operating_point,1.1709,37.088,1.0158,42.9211,15.8693,26.4175,8.5178,34.6774,13.4519,19.6373,6.7827
19,random_operating_point,0.8876,44.2099,1.00828,28.8002,9.2809,20.5546,6.4472,26.6479,9.7154,17.2613,5.3849
20,high_load,1.144,28.473,1.00559,34.8609,13.1056,26.0389,9.6156,25.8295,9.5661,23.5102,7.4377
21,low_generation,1.3031,22.9744,1.01405,47.9567,15.7513,30.2961,11.233,33.2074,11.1283,22.4864,6.9427
22,redistributed_load,1.0885,39.6929,1.0103,37.9573,14.3302,25.0749,8.9523,35.3167,12.6406,23.8153,7.4126
23,random_operating_point,1.0572,36.9771,1.02232,36.8813,12.939,24.1072,7.8103,28.3377,9.4636,19.6302,6.3932
24,random_operating_point,0.8004,27.8084,1.02611,23.1894,7.5467,19.3237,5.9434,18.0527,5.9853,14.9622,5.0469
25,high_load,1.4326,31.6336,1.01514,44.9298,16.729,35.481,10.9366,37.1341,14.7802,25.9839,8.5901
26,random_operating_point,0.8283,27.5043,1.02467,25.0277,8.0507,21.8226,7.778,19.3051,6.9438,15.3558,5.117
27,random_operating_point,1.1588,32.3723,1.00284,40.3461,14.6647,27.7103,9.6334,33.3567,13.2798,19.2823,6.6261
28,low_generation,1.2314,23.8652,1.00023,44.249,14.1913,33.7114,10.9718,36.4941,13.4978,19.1548,6.1376
29,random_operating_point,0.9786,28.1055,1.01224,31.5038,10.5031,22.7484,8.1973,27.9769,10.2756,15.476,4.827
30,high_load,1.4265,39.2399,1.02875,44.9194,16.2028,32.1891,10.0015,36.8172,12.9508,28.3799,9.5048
31,random_operating_point,1.0386,40.6332,1.01663,31.9556,10.2557,26.061,8.8127,26.2469,10.3959,20.1458,6.6425
32,random_operating_point,1.207,31.7153,1.01579,33.738,11.7801,30.695,9.8104,32.8456,12.4096,23.2474,7.2781
33,redistributed_load,1.2923,41.3174,1.02269,38.592,14.3945,31.7143,10.3499,40.656,13.3859,31.0033,10.4721
34,random_operating_point,0.7767,35.7692,1.02835,27.1109,9.0897,18.5637,5.89,21.7243,8.0168,11.5466,3.8178
35,high_load,1.4113,34.1916,1.01027,43.0915,16.0225,32.5326,12.1277,39.2856,14.3687,25.5749,8.147
36,random_operating_point,1.3144,35.9492,1.02171,45.4993,15.9378,27.2048,8.458,35.6248,12.4584,22.6367,7.1429
