scenario_id,scenario_label,load_scale,generator_p_mw,generator_vm_pu,load_bus_2_mw,load_bus_2_mvar,load_bus_3_mw,load_bus_3_mvar,load_bus_4_mw,load_bus_4_mvar,load_bus_5_mw,load_bus_5_mvar,min_vm_pu,max_line_loading_percent,total_load_mw,total_reactive_load_mvar,total_line_loss_mw,ac_line_1_p_mw,ac_line_2_p_mw,ac_line_3_p_mw,ac_line_4_p_mw,ac_line_5_p_mw,ac_line_6_p_mw,ac_line_7_p_mw,dc_line_1_p_mw,dc_line_2_p_mw,dc_line_3_p_mw,dc_line_4_p_mw,dc_line_5_p_mw,dc_line_6_p_mw,dc_line_7_p_mw,line_1_abs_error_mw,line_2_abs_error_mw,line_3_abs_error_mw,line_4_abs_error_mw,line_5_abs_error_mw,line_6_abs_error_mw,line_7_abs_error_mw,mean_abs_line_error_mw,max_abs_line_error_mw,mean_relative_line_error_percent,critical_line,weak_bus
1,base,1.0,35.0,1.01,29.2651,10.4014,24.3143,8.08,26.6198,8.8305,16.7234,5.2234,0.99889,72.065,96.9226,32.5353,0.88375,62.80635,38.30071,24.05161,1.23737,34.67572,9.1651,7.5794,61.9226,38.11579,23.80681,1.26283,34.49251,9.13554,7.58786,0.88375,0.18492,0.2448,0.02546,0.18321,0.02956,0.00845,0.22288,0.88375,0.847,1,5
2,random_operating_point,0.8809,29.4418,1.02678,28.804,10.912,24.0267,8.8749,20.3105,7.8871,14.7974,4.9755,1.01413,70.406,87.9386,32.6495,0.82892,59.32572,35.24291,23.65062,0.0514,28.96973,8.60252,6.21289,58.4968,35.16286,23.33394,0.11234,28.74904,8.55089,6.24651,0.82892,0.08005,0.31668,0.06094,0.22069,0.05163,0.03363,0.2275,0.82892,17.632,1,5
3,random_operating_point,1.2,29.3818,1.01905,40.3696,14.8323,30.3518,10.2967,35.5466,11.7926,20.6785,7.4098,1.0013,114.639,126.9465,44.3314,2.09033,99.65503,54.80584,43.70049,3.65477,42.48647,10.36608,10.34872,97.5647,54.57057,42.99413,3.78458,42.02413,10.26211,10.41639,2.09033,0.23527,0.70635,0.12981,0.46234,0.10396,0.06767,0.54225,2.09033,1.491,1,5
4,random_operating_point,0.9092,44.0281,1.02416,30.6055,10.1539,20.4259,6.9603,25.133,9.0073,15.2678,5.6387,1.01102,56.245,91.4322,31.7602,0.65561,48.05971,34.50291,13.28097,-1.81682,36.84291,9.74217,5.54432,47.4041,34.38782,13.01628,-1.78064,36.61848,9.70483,5.56297,0.65561,0.11509,0.26469,0.03618,0.22444,0.03733,0.01864,0.19314,0.65561,1.002,1,5
5,high_load,1.2504,33.9256,1.00148,44.72,16.804,27.6618,8.7903,34.7358,11.968,23.6438,7.3509,0.98498,114.117,130.7614,44.9132,2.10752,98.94332,57.34493,40.45992,1.51412,46.54916,13.08181,10.60602,96.8358,56.94277,39.89303,1.58715,46.15683,13.00818,10.63562,2.10752,0.40216,0.56689,0.07303,0.39233,0.07362,0.0296,0.52074,2.10752,1.534,1,5
6,random_operating_point,1.1597,33.4715,1.02687,40.1344,13.3821,28.228,9.516,29.1098,11.0088,20.3813,7.2915,1.00922,100.821,117.8535,41.1984,1.67753,86.05953,49.96723,35.20477,0.65315,40.25359,11.58879,8.82707,84.382,49.79681,34.58519,0.77175,39.82869,11.49064,8.89066,1.67753,0.17042,0.61958,0.1186,0.4249,0.09815,0.06359,0.45325,1.67753,3.547,1,5
7,low_generation,0.9205,23.3311,1.01233,29.4352,10.3101,19.3034,6.1931,22.4734,7.991,19.7309,6.5835,1.00019,78.468,90.9429,31.0777,1.00704,68.61884,39.76832,28.31183,1.2543,32.25086,10.91464,8.84615,67.6118,39.59287,28.01893,1.29562,32.04663,10.86884,8.86206,1.00704,0.17544,0.2929,0.04131,0.20423,0.0458,0.01591,0.25466,1.00704,1.067,1,5
8,random_operating_point,1.1381,25.2222,1.0263,37.9813,13.035,30.0435,10.9636,34.6777,13.1998,20.0836,6.2559,1.00859,116.444,122.7861,43.4543,2.12527,99.68917,53.38396,45.1209,4.50655,40.01136,9.62336,10.4944,97.5639,53.20053,44.36337,4.64956,39.54207,9.51393,10.56967,2.12527,0.18343,0.75753,0.14301,0.46929,0.10943,0.07527,0.55189,2.12527,1.479,1,5
9,random_operating_point,0.8087,44.2587,1.01907,26.1243,9.7456,20.927,7.0006,25.9764,10.2095,15.6291,5.2231,1.00695,51.579,88.6568,32.1788,0.56772,44.96582,32.18024,12.55315,-0.43649,35.85972,9.30683,6.34074,44.3981,32.05618,12.34192,-0.41672,35.67362,9.28051,6.34859,0.56772,0.12407,0.21122,0.01978,0.1861,0.02632,0.00786,0.16329,0.56772,1.255,1,5
10,high_load,1.2647,31.0724,1.0201,39.4052,12.6513,30.1299,10.5033,34.9656,13.3895,24.0451,8.0689,1.00168,114.76,128.5458,44.613,2.11943,99.59283,55.27883,43.16298,3.66752,43.86323,12.32369,11.76804,97.4734,55.02919,42.44421,3.79396,43.38671,12.21508,11.83002,2.11943,0.24964,0.71877,0.12644,0.47652,0.10861,0.06198,0.55163,2.11943,1.455,1,5
