scenario_id,total_load_mw,total_reactive_load_mvar,total_line_loss_mw,ac_line_1_p_mw,ac_line_2_p_mw,ac_line_3_p_mw,ac_line_4_p_mw,ac_line_5_p_mw,ac_line_6_p_mw,ac_line_7_p_mw,dc_line_1_p_mw,dc_line_2_p_mw,dc_line_3_p_mw,dc_line_4_p_mw,dc_line_5_p_mw,dc_line_6_p_mw,dc_line_7_p_mw,line_1_abs_error_mw,line_2_abs_error_mw,line_3_abs_error_mw,line_4_abs_error_mw,line_5_abs_error_mw,line_6_abs_error_mw,line_7_abs_error_mw,mean_abs_line_error_mw,max_abs_line_error_mw,mean_relative_line_error_percent,critical_line,weak_bus
1,96.9226,32.5353,0.88375,62.80635,38.30071,24.05161,1.23737,34.67572,9.1651,7.5794,61.9226,38.11579,23.80681,1.26283,34.49251,9.13554,7.58786,0.88375,0.18492,0.2448,0.02546,0.18321,0.02956,0.00845,0.22288,0.88375,0.847,1,5
2,87.9386,32.6495,0.82892,59.32572,35.24291,23.65062,0.0514,28.96973,8.60252,6.21289,58.4968,35.16286,23.33394,0.11234,28.74904,8.55089,6.24651,0.82892,0.08005,0.31668,0.06094,0.22069,0.05163,0.03363,0.2275,0.82892,1.566,1,5
3,126.9465,44.3314,2.09033,99.65503,54.80584,43.70049,3.65477,42.48647,10.36608,10.34872,97.5647,54.57057,42.99413,3.78458,42.02413,10.26211,10.41639,2.09033,0.23527,0.70635,0.12981,0.46234,0.10396,0.06767,0.54225,2.09033,1.491,1,5
4,91.4322,31.7602,0.65561,48.05971,34.50291,13.28097,-1.81682,36.84291,9.74217,5.54432,47.4041,34.38782,13.01628,-1.78064,36.61848,9.70483,5.56297,0.65561,0.11509,0.26469,0.03618,0.22444,0.03733,0.01864,0.19314,0.65561,1.002,1,5
5,130.7614,44.9132,2.10752,98.94332,57.34493,40.45992,1.51412,46.54916,13.08181,10.60602,96.8358,56.94277,39.89303,1.58715,46.15683,13.00818,10.63562,2.10752,0.40216,0.56689,0.07303,0.39233,0.07362,0.0296,0.52074,2.10752,1.534,1,5
6,117.8535,41.1984,1.67753,86.05953,49.96723,35.20477,0.65315,40.25359,11.58879,8.82707,84.382,49.79681,34.58519,0.77175,39.82869,11.49064,8.89066,1.67753,0.17042,0.61958,0.1186,0.4249,0.09815,0.06359,0.45325,1.67753,2.648,1,5
7,90.9429,31.0777,1.00704,68.61884,39.76832,28.31183,1.2543,32.25086,10.91464,8.84615,67.6118,39.59287,28.01893,1.29562,32.04663,10.86884,8.86206,1.00704,0.17544,0.2929,0.04131,0.20423,0.0458,0.01591,0.25466,1.00704,1.067,1,5
8,122.7861,43.4543,2.12527,99.68917,53.38396,45.1209,4.50655,40.01136,9.62336,10.4944,97.5639,53.20053,44.36337,4.64956,39.54207,9.51393,10.56967,2.12527,0.18343,0.75753,0.14301,0.46929,0.10943,0.07527,0.55189,2.12527,1.479,1,5
9,88.6568,32.1788,0.56772,44.96582,32.18024,12.55315,-0.43649,35.85972,9.30683,6.34074,44.3981,32.05618,12.34192,-0.41672,35.67362,9.28051,6.34859,0.56772,0.12407,0.21122,0.01978,0.1861,0.02632,0.00786,0.16329,0.56772,0.891,1,5
10,128.5458,44.613,2.11943,99.59283,55.27883,43.16298,3.66752,43.86323,12.32369,11.76804,97.4734,55.02919,42.44421,3.79396,43.38671,12.21508,11.83002,2.11943,0.24964,0.71877,0.12644,0.47652,0.10861,0.06198,0.55163,2.11943,1.455,1,5
11,121.2851,41.9012,1.72786,88.94386,50.794,37.22834,5.00282,44.76761,11.16389,12.03079,87.216,50.4466,36.7694,5.04249,44.4546,11.11489,12.03671,1.72786,0.34741,0.45894,0.03967,0.31301,0.049,0.00592,0.42026,1.72786,0.834,1,5
12,93.0553,32.0915,1.0026,64.9528,38.95971,25.47957,0.87645,34.00568,9.58597,7.5764,63.9502,38.85511,25.09509,0.94713,33.73099,9.52372,7.61478,1.0026,0.1046,0.38448,0.07069,0.27469,0.06225,0.03838,0.27681,1.0026,1.765,1,5
13,101.4574,37.3723,0.993,66.3161,40.70784,25.10456,0.40666,36.18979,10.15721,7.62353,65.3231,40.51812,24.80498,0.4468,35.96108,10.11568,7.64072,0.993,0.18971,0.29959,0.04014,0.22871,0.04154,0.0172,0.25856,0.993,1.205,1,5
14,143.0444,49.8681,2.81569,116.85519,61.90405,53.37612,6.41262,46.83957,11.41499,13.30073,114.0395,61.59771,52.44179,6.5764,46.25779,11.28069,13.38321,2.81569,0.30634,0.93434,0.16378,0.58178,0.1343,0.08249,0.71696,2.81569,1.464,1,5
15,146.5044,51.5398,2.93691,118.11471,65.65594,50.85324,4.15422,51.94446,14.6257,13.81831,115.1778,65.17403,50.00377,4.27686,51.37897,14.50913,13.86807,2.93691,0.48191,0.84947,0.12264,0.56549,0.11657,0.04976,0.73182,2.93691,1.441,1,5
16,103.2627,34.9736,0.99856,64.30846,40.70292,23.12305,0.8485,39.29912,9.51853,7.51145,63.3099,40.55285,22.75705,0.9067,39.01315,9.46624,7.54106,0.99856,0.15006,0.366,0.0582,0.28598,0.05228,0.02961,0.27724,0.99856,1.571,1,5
17,102.6898,37.6837,1.39626,78.25956,44.68225,32.83556,2.29355,36.86514,8.93387,8.23766,76.8633,44.55462,32.30868,2.39356,36.50958,8.85584,8.29106,1.39626,0.12763,0.52688,0.10001,0.35556,0.07802,0.0534,0.37682,1.39626,1.503,1,5
18,123.6533,44.6217,1.73158,88.29688,52.72641,34.67683,0.8055,45.19541,11.0776,8.59104,86.5653,52.46648,34.09882,0.90445,44.76932,10.99636,8.64094,1.73158,0.25992,0.57801,0.09895,0.42609,0.08123,0.04989,0.46081,1.73158,2.325,1,5
19,93.264,30.8284,0.67236,49.72646,35.15479,14.278,-0.72854,37.91214,10.38925,6.89424,49.0541,34.95127,14.10283,-0.73345,37.75813,10.37678,6.88452,0.67236,0.20352,0.17517,0.00491,0.15401,0.01247,0.00972,0.17602,0.67236,0.617,1,5
20,110.2395,39.725,1.47203,83.23853,47.45103,34.98704,1.63897,37.29104,12.94247,10.61048,81.7665,47.17834,34.58816,1.68994,37.02226,12.8827,10.6275,1.47203,0.27269,0.39888,0.05097,0.26877,0.05976,0.01702,0.36288,1.47203,1.134,1,5
21,133.9466,45.0553,2.6039,113.5761,61.40289,50.69363,2.38352,43.06683,12.0125,10.51514,110.9722,61.07775,49.89445,2.53095,42.57275,11.8963,10.5901,2.6039,0.32514,0.79918,0.14743,0.49408,0.1162,0.07496,0.65156,2.6039,1.916,1,5
22,122.1642,43.3357,1.60875,84.08005,51.06867,32.20147,1.87548,46.70148,13.0138,10.84551,82.4713,50.76901,31.70229,1.94013,46.32029,12.94372,10.87158,1.60875,0.29966,0.49918,0.06465,0.38119,0.07008,0.02607,0.42137,1.60875,1.299,1,5
23,108.9564,36.6061,1.25128,73.23058,45.18623,27.41633,-0.1364,40.17404,11.51153,8.14932,71.9793,45.01376,26.96554,-0.0579,39.83544,11.43984,8.19036,1.25128,0.17247,0.45079,0.0785,0.3386,0.07169,0.04104,0.34348,1.25128,1.936,1,5
24,75.528,24.5223,0.57421,48.29381,29.80516,18.1984,0.15733,26.62365,8.64544,6.33414,47.7196,29.73956,17.98004,0.19583,26.46474,8.60787,6.35433,0.57421,0.06559,0.21836,0.0385,0.15891,0.03757,0.02019,0.15905,0.57421,1.116,1,5
25,143.5288,51.0359,2.73219,114.62739,62.2408,50.87881,4.0084,46.7148,13.30339,12.73606,111.8952,61.91546,49.97974,4.16942,46.13234,13.16765,12.81625,2.73219,0.32533,0.89907,0.16102,0.58247,0.13574,0.08018,0.70229,2.73219,1.655,1,5
26,81.5112,27.8895,0.69374,54.70064,32.51163,21.82616,0.62086,27.43341,8.65952,6.7146,54.0069,32.43139,21.57551,0.66594,27.25721,8.61805,6.73775,0.69374,0.08025,0.25064,0.04508,0.17619,0.04147,0.02315,0.18722,0.69374,1.234,1,5
27,120.6954,44.204,1.73371,90.05681,51.75003,37.36364,1.99139,41.87759,10.30999,9.00178,88.3231,51.4221,36.901,2.05058,41.563,10.25688,9.02542,1.73371,0.32793,0.46264,0.05919,0.31459,0.05311,0.02364,0.42497,1.73371,1.185,1,5
28,133.6093,44.7985,2.50285,112.24695,59.31488,51.47625,4.44559,41.34774,9.09603,10.08878,109.7441,58.91728,50.82682,4.53888,40.98062,9.0254,10.1294,2.50285,0.3976,0.64943,0.0933,0.36712,0.07062,0.04062,0.58879,2.50285,1.19,1,5
29,97.7051,33.803,1.06224,70.66184,41.02766,29.06296,1.90914,34.32647,8.12681,7.36754,69.5996,40.8445,28.7551,1.95368,34.1122,8.08899,7.38701,1.06224,0.18316,0.30786,0.04454,0.21426,0.03782,0.01947,0.26705,1.06224,0.957,1,5
30,142.3056,48.6599,2.55093,105.61663,60.65663,43.6267,2.28649,50.37442,15.51577,12.93029,103.0657,60.41113,42.65457,2.46518,49.70537,15.35335,13.02655,2.55093,0.2455,0.97213,0.17868,0.66905,0.16242,0.09626,0.69643,2.55093,2.283,1,5
31,104.4093,36.1068,0.985,64.7611,40.83078,23.44941,0.13391,37.95249,11.67834,8.4984,63.7761,40.64889,23.12721,0.17757,37.69941,11.63008,8.51572,0.985,0.18189,0.3222,0.04366,0.25308,0.04826,0.01732,0.26449,0.985,1.284,1,5
32,120.526,41.2782,1.73392,90.54462,50.07132,39.53162,4.25707,40.36444,11.5774,11.71273,88.8107,49.83943,38.97127,4.34775,39.99157,11.49372,11.75368,1.73392,0.23189,0.56035,0.09068,0.37287,0.08368,0.04095,0.44491,1.73392,1.132,1,5
33,141.9656,48.6024,2.40904,103.05724,59.04662,42.77133,4.7643,52.11648,15.8907,15.19033,100.6482,58.76338,41.88482,4.90968,51.48792,15.7416,15.2617,2.40904,0.28324,0.88651,0.14539,0.62856,0.1491,0.07137,0.65331,2.40904,1.508,1,5
34,78.9455,26.8143,0.54161,43.71791,30.10616,13.36515,-1.33875,30.52137,7.35038,4.20724,43.1763,30.04125,13.13505,-1.29895,30.34055,7.3173,4.2293,0.54161,0.06491,0.2301,0.0398,0.18082,0.03308,0.02205,0.15891,0.54161,1.102,1,2
35,140.4846,50.6659,2.48867,108.78167,60.46935,46.95872,4.18382,48.36317,12.97611,12.65167,106.293,60.11186,46.18114,4.30996,47.84014,12.8645,12.7104,2.48867,0.35748,0.77759,0.12614,0.52303,0.11161,0.05874,0.63475,2.48867,1.422,1,5
36,130.9656,43.9971,2.09493,97.11133,56.97359,39.04029,1.05141,47.57067,12.72161,9.95675,95.0164,56.71474,38.30166,1.18735,47.04606,12.60861,10.02809,2.09493,0.25885,0.73863,0.13594,0.52461,0.113,0.07134,0.56247,2.09493,2.877,1,5
37,95.7343,32.0787,0.73405,53.39345,35.00512,18.03357,0.72871,35.38317,9.80488,7.64363,52.6594,34.78547,17.87393,0.71714,35.26003,9.79726,7.62774,0.73405,0.21964,0.15964,0.01157,0.12314,0.00761,0.01589,0.18165,0.73405,0.668,1,5
38,112.1927,40.7024,1.2368,71.9356,44.12633,27.21065,2.37074,42.27248,12.84532,11.1189,70.6988,43.93417,26.76463,2.43422,41.92873,12.77455,11.14505,1.2368,0.19216,0.44602,0.06348,0.34376,0.07077,0.02615,0.33988,1.2368,1.153,1,5
39,83.9795,28.7989,0.68997,54.68007,34.13163,20.20259,0.12383,31.03202,8.27317,6.04418,53.9901,34.01689,19.97321,0.15954,30.85651,8.24085,6.06105,0.68997,0.11474,0.22938,0.03572,0.17551,0.03232,0.01687,0.18493,0.68997,1.077,1,5
40,120.8944,41.4521,1.94076,94.42716,52.74072,40.63277,2.12183,40.58781,12.17561,10.42056,92.4864,52.54305,39.94335,2.25102,40.13385,12.06586,10.48824,1.94076,0.19767,0.68942,0.12918,0.45396,0.10975,0.06767,0.51263,1.94076,1.841,1,5
